Player,Position,Team,College
"Abanikanda, Israel",RB,San Francisco,Pittsburgh
"Abdullah, Ameer",RB,Las Vegas,Nebraska
"Abdullah, Yasir",LB,Jacksonville,Louisville
"Abernathy, Micah",DB,Atlanta,Tennessee
"Abraham, Micah",DB,Cincinnati,Marshall
"Abrams-Draine, Kris",DB,Denver,Missouri
"Achane, De'Von",RB,Miami,Texas A&M
"Adams, Davante",WR,NY Jets,Fresno State
"Adams, Isaiah",OT,Arizona,Illinois
"Adams, Jamal",DB,Detroit,Louisiana State
"Adams, Matthew",LB,NY Giants,Houston
"Adams, Montravius",DT,Pittsburgh,Auburn
"Adams, Myles",DE,Detroit,Rice
"Adams, Tony",DB,NY Jets,Illinois
"Addison, Jordan",WR,Minnesota,Southern California
"Adebawore, Adetomiwa",DT,Indianapolis,Northwestern
"Adebo, Paulson",DB,New Orleans,Stanford
"Adeniji, Hakeem",OT,Cleveland,Kansas
"Adkins, Nate",TE,Denver,South Carolina
"Adomitis, Cal",LS,Cincinnati,Pittsburgh
"Agholor, Nelson",WR,Baltimore,Southern California
"Agim, McTelvin",DT,Tennessee,Arkansas
"Agnew, Jamal",WR,Pittsburgh,San Diego
"Agoha, David Ebuka",DE,Las Vegas,--
"Agude, Mitchell",LB,Detroit,Miami
"Ahmed, Salvon",RB,Indianapolis,Washington
"Aho, Junior",DT,Atlanta,Southern Methodist
"Aiyuk, Brandon",WR,San Francisco,Arizona State
"Ajiake, Austin",LB,Indianapolis,Nevada-Las Vegas
"Akers, Cam",RB,Minnesota,Florida State
"Akins, Jordan",TE,Cleveland,Central Florida
"Al-Shaair, Azeez",LB,Houston,Florida Atlantic
"Alarcon, Isaac",OT,San Francisco,ITESM Monterrey
"Alexander, Jaire",DB,Green Bay,Louisville
"Alexander, Kwon",LB,Detroit,Louisiana State
"Alexandre, Deslin",LB,Green Bay,Pittsburgh
"Alford, DeAundre",DB,Atlanta,Tusculum College
"Ali, Rasheen",RB,Baltimore,Marshall
"Alie-Cox, Mo",TE,Indianapolis,Virginia Commonwealth
"All, Erick",TE,Cincinnati,Iowa
"Allegretti, Nick",OG,Washington,Illinois
"Allen, Braelon",RB,NY Jets,Wisconsin
"Allen, Brandon",QB,San Francisco,Arkansas
"Allen, Davis",TE,LA Rams,Clemson
"Allen, Jonathan",DT,Washington,Alabama
"Allen, Josh",QB,Buffalo,Wyoming
"Allen, Kazmeir",WR,Washington,UCLA
"Allen, Keenan",WR,Chicago,California
"Allen, Kyle",QB,Pittsburgh,Houston
"Allen, Zach",DE,Denver,Boston College
"Allgeier, Tyler",RB,Atlanta,Brigham Young
"Alt, Joe",OT,LA Chargers,Notre Dame
"Amadi, Ugo",DB,New Orleans,Oregon
