RK,NAME,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
407,Ramel Keyton LV,6,1,3,7,7.0,0,7,0,1.2,0,0,0,1
407,Jared Wiley KC,7,1,1,7,7.0,0,7,0,1.0,0,0,3,0
415,Gus Edwards LAC,11,3,5,6,2.0,0,3,0,0.5,0,0,11,0
415,John Ross PHI,1,1,2,6,6.0,0,6,0,6.0,0,0,2,1
415,Collin Johnson CHI,7,1,2,6,6.0,0,6,0,0.9,0,0,3,1
415,Jaelon Darden SEA/CLE,10,1,1,6,6.0,0,6,0,0.6,0,0,9,1
415,David Martin-Robinson TEN,3,1,2,6,6.0,0,6,0,2.0,0,0,6,1
415,Xavier Smith LAR,13,2,2,6,3.0,0,11,0,0.5,0,0,5,1
415,Ainias Smith PHI,5,3,3,6,2.0,0,5,0,1.2,0,0,7,0
415,Isaiah Williams CIN/DET,6,2,3,6,3.0,0,4,0,1.0,0,0,7,0
423,Robbie Chosen MIA,2,1,4,5,5.0,0,5,0,2.5,0,0,1,0
423,Ross Dwelley ATL,15,1,1,5,5.0,0,5,0,0.3,0,0,4,0
423,Mike Caliendo KC,15,1,1,5,5.0,0,5,0,0.3,0,0,3,1
423,Charlie Jones CIN,8,1,1,5,5.0,0,5,0,0.6,0,0,0,0
423,Jody Fortson KC,3,1,3,5,5.0,0,5,0,1.7,0,0,2,1
423,Craig Reynolds DET,15,1,1,5,5.0,0,5,0,0.3,0,0,9,0
423,Tyler Scott CHI,9,1,1,5,5.0,0,5,0,0.6,0,0,7,0
423,Zach Davidson BUF,3,1,2,5,5.0,0,5,0,1.7,0,0,2,0
431,Chris Conley SF,13,1,7,4,4.0,0,4,0,0.3,0,0,0,0
431,Vederian Lowe NE,12,1,1,4,4.0,1,4,0,0.3,0,0,0,1
431,Juanyeh Thomas DAL,11,1,1,4,4.0,0,4,0,0.4,0,0,0,0
434,MarShawn Lloyd GB,1,1,1,3,3.0,0,3,0,3.0,0,0,8,0
435,Marcedes Lewis CHI,15,1,1,2,2.0,0,2,0,0.1,0,0,1,1
435,Chris Manhertz NYG,15,1,2,2,2.0,1,2,0,0.1,0,0,0,1
435,Jake Brendel SF,15,0,0,2,0.0,0,2,0,0.1,1,0,2,0
435,Sam Hubbard CIN,14,1,1,2,2.0,1,2,0,0.1,0,0,0,1
435,Patrick Mahomes KC,15,1,1,2,2.0,0,2,0,0.1,0,0,3,0
435,Dameon Pierce HOU,9,2,2,2,1.0,0,1,0,0.2,0,0,5,0
435,John FitzPatrick GB,6,1,1,2,2.0,0,2,0,0.3,0,0,0,0
435,Bo Nix DEN,15,1,1,2,2.0,1,2,0,0.1,0,0,0,1
443,Trent Scott WSH,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1
443,DeeJay Dallas ARI,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1
443,Jaheim Bell NE,13,1,2,1,1.0,0,1,0,0.1,0,0,3,0
443,Wanya Morris KC,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1
443,Kendre Miller NO,4,2,5,1,0.5,0,6,0,0.3,0,0,4,0
448,Jordan Matthews CAR,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,C.J. Goodwin DAL,15,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Taylor Decker DET,12,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Braxton Berrios MIA,6,0,4,0,0.0,0,0,0,0.0,0,0,0,0
448,Andrew Beck HOU/GB,4,0,2,0,0.0,0,0,0,0.0,0,0,0,0
448,Tom Kennedy DET,3,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Irvin Charles NYJ,13,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Adam Prentice NO,14,0,3,0,0.0,0,0,0,0.0,0,0,0,0
448,Feleipe Franks CAR,14,0,2,0,0.0,0,0,0,0.0,0,0,0,0
448,Stephen Sullivan CAR,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,J.J. Taylor HOU,5,2,3,0,0.0,0,2,0,0.0,0,0,1,0
448,Sam Franklin Jr. CAR,8,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Kadarius Toney CLE,3,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Ronnie Rivers LAR,15,1,1,0,0.0,0,0,0,0.0,0,0,7,0
448,James Pierre PIT,13,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Justyn Ross KC,2,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Erik Ezukanma MIA,2,0,2,0,0.0,0,0,0,0.0,0,0,0,0
448,Ben VanSumeren PHI,11,1,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Dareke Young SEA,12,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Baylor Cupp KC,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Xavier Weaver ARI,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Skyy Moore KC,6,0,3,0,0.0,0,0,0,0.0,0,0,0,0
448,JC Latham TEN,15,1,1,0,0.0,0,0,0,0.0,0,0,4,0
448,C.J. Stroud HOU,15,0,1,0,0.0,0,0,0,0.0,0,0,0,0
448,Tyler Smith DAL,14,1,1,0,0.0,0,0,0,0.0,0,0,6,0
448,Javon Baker NE,9,0,2,0,0.0,0,0,0,0.0,0,0,0,0
448,Kameron Johnson TB,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
475,Anthony Richardson IND,11,1,1,-1,-1.0,0,-1,0,-0.1,0,0,7,0
475,George Holani SEA,3,1,1,-1,-1.0,0,-1,0,-0.3,0,0,0,0
477,Brycen Tremayne WSH,1,1,1,-2,-2.0,0,-2,0,-2.0,0,0,0,0
477,Tyler Badie DEN,3,3,3,-2,-0.7,0,2,0,-0.7,1,1,4,0
477,Zach Frazier PIT,13,0,0,-2,0.0,0,-2,0,-0.2,0,0,-2,0
480,Dominick Puni SF,15,0,0,-3,0.0,0,-3,0,-0.2,0,0,-3,0
481,Trevor Lawrence JAX,10,0,0,-5,0.0,0,-5,0,-0.5,1,0,-5,0
