RK,NAME,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
224,J.K. Dobbins LAC,11,28,34,134,4.8,0,15,0,12.2,0,0,175,6
224,Malik Washington MIA,12,18,26,134,7.4,0,20,1,11.2,0,0,85,6
226,Cade Stover HOU,13,14,20,132,9.4,1,27,1,10.2,0,0,91,5
227,Charlie Kolar BAL,12,9,11,131,14.6,1,55,2,10.9,0,0,76,4
227,Jonathan Mingo DAL/CAR,15,14,37,131,9.4,0,35,2,8.7,0,0,67,4
229,Jonathan Taylor IND,12,15,25,122,8.1,1,25,1,10.2,1,0,142,7
229,Jahan Dotson PHI,15,12,22,122,10.2,0,36,2,8.1,0,0,52,6
231,Michael Mayer LV,9,16,26,121,7.6,0,29,1,13.4,0,0,40,6
232,Bub Means NO,7,9,15,118,13.1,1,36,1,16.9,0,0,20,7
233,Daniel Bellinger NYG,15,12,15,116,9.7,0,17,0,7.7,0,0,45,8
234,Devin Singletary NYG,13,19,22,115,6.1,0,23,1,8.8,0,0,171,4
235,Rakim Jarrett TB,8,8,10,113,14.1,0,30,2,14.1,0,0,17,4
236,Hunter Luepke DAL,14,11,15,110,10.0,0,24,1,7.9,0,0,84,5
237,Jermaine Burton CIN,13,4,14,107,26.8,0,47,2,8.2,0,0,22,4
238,Simi Fehoko LAC,8,6,16,106,17.7,0,30,2,13.3,0,0,16,6
239,Emari Demercado ARI,13,16,20,104,6.5,0,24,1,8.0,0,0,95,3
239,Sean Tucker TB,15,8,11,104,13.0,1,36,1,6.9,0,0,103,6
241,Jake Bobo SEA,15,12,16,103,8.6,0,15,0,6.9,0,0,27,7
242,Ryan Miller TB,9,10,16,102,10.2,2,39,1,11.3,0,0,52,7
242,Kenneth Gainwell PHI,15,13,17,102,7.8,0,16,0,6.8,0,0,94,5
244,Nick Vannett TEN,15,14,17,101,7.2,2,24,1,6.7,0,0,78,4
245,Jalen Reagor LAC,8,7,12,100,14.3,0,41,2,12.5,1,1,26,3
245,Brock Wright DET,15,13,16,100,7.7,2,16,0,6.7,0,0,75,7
245,Jeremy Ruckert NYJ,15,17,26,100,5.9,0,12,0,6.7,0,0,81,6
245,Julian Hill MIA,14,12,18,100,8.3,0,17,0,7.1,1,0,58,5
249,Mason Tipton NO,10,14,25,99,7.1,0,15,0,9.9,0,0,27,2
250,KhaDarel Hodge ATL,15,5,6,98,19.6,1,45,2,6.5,0,0,73,4
250,Miles Sanders CAR,10,21,26,98,4.7,0,27,1,9.8,0,0,137,3
250,Kevin Austin Jr. NO,5,8,15,98,12.3,0,22,1,19.6,0,0,22,7
253,Drew Sample CIN,15,15,17,92,6.1,1,12,0,6.1,1,0,61,6
254,Jordan Mason SF,12,11,14,91,8.3,0,24,1,7.6,0,0,59,5
254,Xavier Hutchinson HOU,14,9,20,91,10.1,0,19,0,6.5,0,0,30,5
256,Mecole Hardman KC,12,12,14,90,7.5,0,17,0,7.5,0,0,99,6
257,Pierre Strong Jr. CLE,13,11,17,89,8.1,0,21,2,6.8,0,0,111,3
258,Brevyn Spann-Ford DAL,15,9,14,88,9.8,0,18,0,5.9,0,0,53,6
258,Roschon Johnson CHI,12,11,15,88,8.0,0,17,0,7.3,0,0,70,5
258,Drew Ogletree IND,15,8,13,88,11.0,1,22,2,5.9,0,0,41,5
261,Isaac Guerendo SF,14,11,12,87,7.9,0,27,2,6.2,1,0,67,5
261,Ja'Lynn Polk NE,14,12,32,87,7.3,2,21,1,6.2,0,0,13,4
263,Harrison Bryant LV,11,9,12,86,9.6,0,18,0,7.8,0,0,71,5
