RK,NAME,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS,LNG,TD,FF,FR,FTD
42,Josey Jewell CAR,12,51,46,97,3.5,26,7,7,1,0,0,0,0,2,0
42,Quincy Williams NYJ,15,62,35,97,2.0,22,8,2,0,0,0,0,3,2,0
42,Cody Barton DEN,15,49,48,97,1.5,3,2,4,2,71,56,0,1,1,1
42,Henry To'oTo'o HOU,13,50,47,97,1.5,1,7,3,1,0,0,0,1,0,0
46,DeShon Elliott PIT,13,64,32,96,0.0,0,4,6,1,0,0,0,2,3,0
46,Brian Branch DET,14,72,24,96,0.0,0,7,15,4,48,47,0,1,0,0
48,Josh Metellus MIN,15,57,38,95,0.0,0,2,4,2,16,12,0,1,0,0
48,Kenneth Murray Jr. TEN,14,57,38,95,3.5,13,8,2,1,6,6,0,1,0,0
50,Tremaine Edmunds CHI,15,52,42,94,1.0,7,3,6,1,0,0,0,1,0,0
51,Bobby Okereke NYG,12,47,46,93,2.0,4,6,3,0,0,0,0,3,2,0
51,Blake Cashman MIN,12,57,36,93,3.0,24,7,8,0,0,0,0,0,1,0
53,Tre'von Moehrig LV,15,60,32,92,1.0,4,5,10,2,28,16,0,0,2,0
54,Isaiah McDuffie GB,14,43,47,90,0.5,0,2,3,0,0,0,0,1,0,0
54,DeMarvion Overshown DAL,13,56,34,90,5.0,32,8,4,1,23,23,1,1,1,0
56,Frankie Luvu WSH,15,47,42,89,8.0,46,11,7,1,0,0,0,1,2,0
57,Derwin James Jr. LAC,14,56,32,88,3.5,14,7,6,1,2,2,0,0,0,0
57,Tyrel Dodson SEA/MIA,15,48,40,88,2.0,9,5,3,1,0,0,0,1,0,0
59,Foyesade Oluokun JAX,11,54,33,87,1.0,9,5,6,1,0,0,0,0,0,0
60,Minkah Fitzpatrick PIT,15,54,32,86,0.0,0,1,4,1,25,25,0,1,0,0
61,Drue Tranquill KC,15,48,37,85,2.0,11,5,2,0,0,0,0,0,2,0
61,Jessie Bates III ATL,15,51,34,85,0.0,0,1,10,4,55,55,1,4,1,0
61,Camryn Bynum MIN,15,46,39,85,0.0,0,1,10,3,3,3,0,0,1,0
61,Jaylon Jones IND,15,59,26,85,0.0,0,3,12,2,5,5,0,1,0,0
65,Jordan Poyer MIA,14,43,41,84,0.0,0,0,2,0,0,0,0,0,0,0
65,Devon Witherspoon SEA,15,56,28,84,0.0,0,3,7,0,0,0,0,1,0,0
67,Damar Hamlin BUF,13,58,25,83,0.0,0,2,5,2,19,19,0,0,1,0
68,Justin Reid KC,15,56,26,82,0.0,0,5,8,1,8,8,0,0,0,0
68,Jalen Thompson ARI,13,52,30,82,0.0,0,2,2,0,0,0,0,0,1,0
70,Ventrell Miller JAX,15,53,27,80,0.0,0,4,3,0,0,0,0,1,0,0
70,Mike Sainristil WSH,15,53,27,80,0.0,0,1,11,2,38,38,0,1,1,0
72,Harrison Smith MIN,14,51,28,79,1.0,8,3,9,2,0,0,0,0,1,0
72,De'Vondre Campbell SF,13,44,35,79,0.0,0,3,2,0,0,0,0,0,0,0
72,Donovan Wilson DAL,15,41,38,79,3.5,26,5,5,1,0,0,0,2,1,0
72,Quan Martin WSH,15,43,36,79,0.0,0,2,1,0,0,0,0,3,0,0
72,Alontae Taylor NO,14,55,24,79,4.0,33,7,13,0,0,0,0,2,0,0
77,Julian Blackmon IND,14,56,21,77,0.5,1,1,3,2,17,17,0,0,1,0
78,Jordan Whitehead TB,11,47,29,76,0.0,0,2,3,0,0,0,0,0,0,0
78,Geno Stone CIN,15,44,32,76,0.0,0,0,6,4,88,49,1,0,1,0
78,Deommodore Lenoir SF,14,48,28,76,0.0,0,2,9,2,33,33,0,1,0,0
78,Isaiah Pola-Mao LV,15,50,26,76,1.0,8,1,3,0,0,0,0,2,0,0
