PLR_NAME,Player,Team ABR,Team,RK,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Position,College,School,Conference
Kareem Hunt,Kareem Hunt,KC,Kansas City,30,12,191,708,3.7,20,1,6,59.0,0,0,39,RB,Toledo,Toledo,MAC
Tank Bigsby,Cartavious Bigsby,JAX,Jacksonville,31,14,143,694,4.9,65,4,6,49.6,3,1,34,RB,Auburn,Auburn,SEC
Jalen Hurts,Jalen Hurts,PHI,Philadelphia,32,15,150,630,4.2,35,7,14,42.0,4,2,62,QB,Oklahoma,Oklahoma,SEC
Rachaad White,Rachaad White,TB,Tampa Bay,33,14,138,583,4.2,56,2,3,41.6,2,2,32,RB,Arizona State,Arizona,Big 12
Tyler Allgeier,Tyler Allgeier,ATL,Atlanta,34,15,125,573,4.6,25,4,3,38.2,0,0,38,RB,Brigham Young,BYU,Big 12
Kenneth Walker III,Kenneth Walker,SEA,Seattle,34,11,153,573,3.7,28,5,7,52.1,1,0,28,RB,Michigan State,Michigan,Big Ten
Jerome Ford,Jerome Ford,CLE,Cleveland,36,13,98,543,5.5,66,5,3,41.8,0,0,24,RB,Cincinnati,Cincinnati,Big 12
Kyler Murray,Kyler Murray,ARI,Arizona,37,15,71,518,7.3,50,6,5,34.5,4,3,24,QB,Oklahoma,Oklahoma,SEC
Josh Allen,Josh Allen,BUF,Buffalo,38,15,97,514,5.3,30,5,11,34.3,1,0,49,QB,Wyoming,Wyoming,Mountain West
Anthony Richardson,Anthony Richardson,IND,Indianapolis,39,11,86,499,5.8,29,5,6,45.4,6,1,33,QB,Florida,Florida,SEC
Javonte Williams,Javonte Williams,DEN,Denver,40,15,134,485,3.6,20,1,4,32.3,2,2,28,RB,North Carolina,North Carolina,ACC
Travis Etienne Jr.,Travis Etienne,JAX,Jacksonville,41,13,122,478,3.9,22,2,2,36.8,1,1,26,RB,Clemson,Clemson,ACC
Zach Charbonnet,Zach Charbonnet,SEA,Seattle,42,15,106,453,4.3,51,3,8,30.2,0,0,27,RB,UCLA,UCLA,Big Ten
Caleb Williams,Caleb Williams,CHI,Chicago,43,15,73,442,6.1,24,2,0,29.5,3,2,25,QB,Southern California,Southern California,Big Ten
Antonio Gibson,Antonio Gibson,NE,New England,44,15,96,434,4.5,45,3,1,28.9,2,0,20,RB,Memphis,Memphis,The American
Jaylen Warren,Jaylen Warren,PIT,Pittsburgh,45,13,103,419,4.1,18,0,1,32.2,1,1,24,RB,Oklahoma State,Oklahoma,SEC
Devin Singletary,Devin Singletary,NYG,NY Giants,46,13,101,394,3.9,43,2,4,30.3,2,2,21,RB,Florida Atlantic,Florida,SEC
Drake Maye,Drake Maye,NE,New England,47,11,48,389,8.1,41,3,2,35.4,3,1,21,QB,North Carolina,North Carolina,ACC
Jaleel McLaughlin,Jaleel McLaughlin,DEN,Denver,48,14,87,388,4.5,21,1,1,27.7,0,0,18,RB,Youngstown State,NC State,ACC
Isaac Guerendo,Isaac Guerendo,SF,San Francisco,49,14,73,381,5.2,76,2,4,27.2,0,0,15,RB,Louisville,Louisville,ACC
Ray Davis,Jalyn Armour-Davis,BUF,Baltimore,50,15,92,369,4.0,22,1,3,24.6,0,0,22,DB,Alabama,Alabama,SEC
Alexander Mattison,Alexander Mattison,LV,Las Vegas,51,12,116,368,3.2,24,1,4,30.7,1,1,23,RB,Boise State,Boise St.,Mountain West
Gus Edwards,Gus Edwards,LAC,LA Chargers,52,11,101,365,3.6,43,1,4,33.2,0,0,17,RB,Rutgers,Rutgers,Big Ten
Cam Akers,Cam Akers,HOU/MIN,Minnesota,53,15,92,361,3.9,25,1,2,24.1,1,1,19,RB,Florida State,Florida,SEC
Austin Ekeler,Austin Ekeler,WSH,Washington,54,11,74,355,4.8,50,4,4,32.3,1,0,18,RB,Western State,West,Sun Belt
Bo Nix,Bo Nix,DEN,Denver,55,15,78,352,4.5,32,5,4,23.5,1,0,33,QB,Oregon,Oregon,Big Ten
Emanuel Wilson,Emanuel Wilson,GB,Green Bay,56,14,72,348,4.8,19,0,1,24.9,0,0,18,RB,Fort Valley State,NC State,ACC
Nick Chubb,Nick Chubb,CLE,Cleveland,57,8,102,332,3.3,19,0,3,41.5,1,1,17,RB,Georgia,Georgia,SEC
Brock Purdy,Brock Purdy,SF,San Francisco,58,14,63,311,4.9,16,0,4,22.2,2,0,31,QB,Iowa State,Iowa,Big Ten
Baker Mayfield,Baker Mayfield,TB,Tampa Bay,59,15,50,308,6.2,21,1,3,20.5,9,1,21,QB,Oklahoma,Oklahoma,SEC
Patrick Mahomes,Patrick Mahomes,KC,Kansas City,60,15,57,295,5.2,33,2,2,19.7,1,0,21,QB,Texas Tech,Texas Tech,Big 12
Braelon Allen,Braelon Allen,NYJ,NY Jets,61,15,82,293,3.6,20,1,2,19.5,0,0,18,RB,Wisconsin,Wisconsin,Big Ten
Isiah Pacheco,Isiah Pacheco,KC,Kansas City,62,6,77,292,3.8,34,1,1,48.7,0,0,14,RB,Rutgers,Rutgers,Big Ten
Trey Benson,Trey Benson,ARI,Arizona,63,13,63,291,4.6,20,1,1,22.4,1,0,16,RB,Florida State,Florida,SEC
Justin Fields,Justin Fields,PIT,Pittsburgh,64,10,62,289,4.7,30,1,5,28.9,4,0,19,QB,Ohio State,Ohio State,Big Ten
Taysom Hill,Taysom Hill,NO,New Orleans,65,8,39,278,7.1,75,2,6,34.8,0,0,18,TE,Brigham Young,BYU,Big 12
Raheem Mostert,Raheem Mostert,MIA,Miami,66,11,79,275,3.5,21,1,2,25.0,2,2,13,RB,Purdue,Purdue,Big Ten
Kenneth Gainwell,Kenny Gainwell,PHI,Philadelphia,67,15,61,272,4.5,20,1,1,18.1,0,0,12,RB,Memphis,Memphis,The American
Daniel Jones,Daniel Jones,NYG,Minnesota,68,10,67,265,4.0,24,1,2,26.5,0,0,26,QB,Duke,Duke,ACC
Jeremy McNichols,Jeremy McNichols,WSH,Washington,69,15,54,256,4.7,28,2,4,17.1,0,0,15,RB,Boise State,Boise St.,Mountain West
Sean Tucker,Sean Tucker,TB,Tampa Bay,70,15,40,253,6.3,36,2,2,16.9,1,0,14,RB,Syracuse,Syracuse,ACC
Jaylen Wright,Jaylen Wright,MIA,Miami,70,13,62,253,4.1,20,1,0,19.5,1,1,10,RB,Tennessee,Tennessee,SEC
Justin Herbert,Justin Herbert,LAC,LA Chargers,72,15,62,252,4.1,38,3,2,16.8,2,1,19,QB,Oregon,Oregon,Big Ten
Audric Estime,Audric Estime,DEN,Denver,72,11,55,252,4.6,21,1,1,22.9,2,1,10,RB,Notre Dame,Notre Dame,FBS Independent
Zack Moss,Zack Moss,CIN,Cincinnati,74,8,74,242,3.3,16,0,2,30.3,2,1,13,RB,Utah,Utah,Big 12
Geno Smith,Geno Smith,SEA,Seattle,75,15,48,239,5.0,34,3,2,15.9,5,0,15,QB,West Virginia,West Virginia,Big 12
Justice Hill,Justice Hill,BAL,Baltimore,76,15,47,228,4.9,51,2,1,15.2,0,0,14,RB,Oklahoma State,Oklahoma,SEC
C.J. Stroud,C.J. Stroud,HOU,Houston,77,15,51,226,4.4,25,2,0,15.1,3,2,14,QB,Ohio State,Ohio State,Big Ten
Ezekiel Elliott,Ezekiel Elliott,DAL,Dallas,78,14,71,224,3.2,11,0,3,16.0,0,0,14,RB,Ohio State,Ohio State,Big Ten
Emari Demercado,Emari Demercado,ARI,Arizona,79,13,24,223,9.3,53,2,1,17.2,0,0,8,RB,Texas Christian,Texas,SEC
Tyjae Spears,Tyjae Spears,TEN,Tennessee,80,11,64,217,3.4,19,0,4,19.7,0,0,13,RB,Tulane,Tulane,The American
Bryce Young,Bryce Young,CAR,Carolina,80,12,36,217,6.0,34,3,4,18.1,1,1,11,QB,Alabama,Alabama,SEC
Sam Darnold,Sam Darnold,MIN,Minnesota,82,15,61,205,3.4,19,0,1,13.7,3,2,22,QB,Southern California,Southern California,Big Ten
Christian McCaffrey,Christian McCaffrey,SF,San Francisco,83,4,50,202,4.0,19,0,0,50.5,0,0,12,RB,Stanford,Stanford,ACC
Blake Corum,Blake Corum,LAR,LA Rams,84,15,53,201,3.8,12,0,0,13.4,0,0,12,RB,Michigan,Michigan,Big Ten
Ameer Abdullah,Ameer Abdullah,LV,Las Vegas,85,15,46,196,4.3,40,1,2,13.1,1,1,9,RB,Nebraska,Nebraska,Big Ten
Ty Johnson,Ty Johnson,BUF,Buffalo,86,15,35,184,5.3,19,0,1,12.3,0,0,11,RB,Maryland,Maryland,Big Ten
Zamir White,Zamir White,LV,Las Vegas,87,8,65,183,2.8,17,0,1,22.9,2,2,4,RB,Georgia,Georgia,SEC
Sincere McCormick,Sincere McCormick,LV,Las Vegas,87,5,39,183,4.7,29,1,0,36.6,0,0,10,RB,Texas-San Antonio,Texas,SEC
Joe Burrow,Joe Burrow,CIN,Cincinnati,89,15,37,177,4.8,47,1,1,11.8,2,0,14,QB,Louisiana State,Louisiana,Sun Belt
Ty Chandler,Ty Chandler,MIN,Minnesota,90,15,51,175,3.4,25,1,0,11.7,0,0,8,RB,North Carolina,North Carolina,ACC
Will Levis,Will Levis,TEN,Tennessee,90,11,41,175,4.3,21,1,0,15.9,3,2,20,QB,Kentucky,Kentucky,SEC
Trey Sermon,Trey Sermon,IND,Indianapolis,92,15,56,159,2.8,17,0,2,10.6,0,0,14,RB,Ohio State,Ohio State,Big Ten
Carson Steele,Carson Steele,KC,Kansas City,93,15,48,158,3.3,9,0,0,10.5,3,2,14,RB,UCLA,UCLA,Big Ten
Chris Rodriguez Jr.,Chris Blair,WSH,Atlanta,94,7,30,157,5.2,25,1,1,22.4,0,0,8,WR,Alcorn State,NC State,ACC
D'Onta Foreman,D'Onta Foreman,CLE,Cleveland,95,9,48,156,3.3,25,1,0,17.3,2,1,7,RB,Texas,Texas,SEC
Jayden Reed,Jayden Reed,GB,Green Bay,96,14,16,155,9.7,33,3,1,11.1,0,0,7,WR,Michigan State,Michigan,Big Ten
