PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College,School,Conference
Zaire Franklin,Zaire Franklin,IND,Indianapolis,1,15,83,68,151,2.5,4,6,5,2,4,4,0,3,0,0,LB,Syracuse,Syracuse,ACC
Budda Baker,Budda Baker,ARI,Arizona,2,15,90,58,148,2.0,13,9,3,0,0,0,0,0,0,0,DB,Washington,Washington,Big Ten
Zack Baun,Zack Baun,PHI,Philadelphia,3,15,92,53,145,3.5,23,11,3,1,0,0,0,5,1,0,LB,Wisconsin,Wisconsin,Big Ten
Daiyan Henley,Daiyan Henley,LAC,LA Chargers,4,15,82,60,142,1.0,1,7,7,0,0,0,0,0,0,0,LB,Washington State,Washington,Big Ten
Jamien Sherwood,Jamien Sherwood,NYJ,NY Jets,4,15,90,52,142,2.0,11,9,2,0,0,0,0,0,0,0,LB,Auburn,Auburn,SEC
Roquan Smith,Roquan Smith,BAL,Baltimore,6,14,71,65,136,0.5,3,3,4,1,0,0,0,1,1,0,LB,Georgia,Georgia,SEC
Robert Spillane,Robert Spillane,LV,Las Vegas,7,15,81,53,134,1.0,6,8,5,2,0,0,0,0,0,0,LB,Western Michigan,Michigan,Big Ten
Kaden Elliss,Kaden Elliss,ATL,Atlanta,8,15,75,56,131,5.0,37,8,2,0,0,0,0,1,1,0,LB,Idaho,,
Nick Cross,Nick Cross,IND,Indianapolis,8,15,82,49,131,1.0,2,5,5,3,25,20,0,1,0,0,DB,Maryland,Maryland,Big Ten
Germaine Pratt,Germaine Pratt,CIN,Cincinnati,10,15,73,57,130,0.0,0,4,5,1,24,24,0,2,2,0,LB,North Carolina State,North Carolina,ACC
E.J. Speed,E.J. Speed,IND,Indianapolis,11,13,87,42,129,0.0,0,7,4,1,12,12,0,0,0,0,LB,Tarleton State,NC State,ACC
Christian Rozeboom,Christian Rozeboom,LAR,LA Rams,12,15,66,62,128,1.0,6,5,4,1,16,16,0,0,0,0,LB,South Dakota State,NC State,ACC
Jordyn Brooks,Jordyn Brooks,MIA,Miami,12,15,75,53,128,3.0,19,10,5,0,0,0,0,0,2,0,LB,Texas Tech,Texas Tech,Big 12
