PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College
Andrew Van Ginkel,Andrew Van Ginkel,MIN,Minnesota,110,15,45,24,69,11.0,73,17,5,2,73,63,2,1,0,0,LB,Wisconsin
Kamren Curl,Kamren Curl,LAR,LA Rams,110,15,44,25,69,1.0,10,1,8,0,0,0,0,2,1,1,DB,Arkansas
Anthony Walker Jr.,Anthony Walker,MIA,Miami,112,14,34,34,68,1.0,0,0,2,1,5,5,0,0,0,0,LB,Northwestern
Azeez Al-Shaair,Azeez Al-Shaair,HOU,Houston,112,10,45,23,68,2.0,2,7,4,0,0,0,0,2,0,0,LB,Florida Atlantic
Jaycee Horn,Jaycee Horn,CAR,Carolina,112,15,49,19,68,2.0,27,5,13,1,0,0,0,0,0,0,DB,South Carolina
Justin Strnad,Justin Strnad,DEN,Denver,115,15,43,24,67,3.0,8,7,3,0,0,0,0,0,0,0,LB,Wake Forest
Mack Wilson Sr.,Mack Wilson,ARI,Arizona,115,14,40,27,67,3.0,20,4,4,1,0,0,0,0,1,0,LB,Alabama
Kenny Moore II,Kenny Moore,IND,Indianapolis,115,13,44,23,67,0.5,5,4,7,3,28,12,0,0,1,1,DB,Valdosta State
Cam Taylor-Britt,Cam Taylor-Britt,CIN,Cincinnati,115,15,50,17,67,0.5,3,1,15,3,79,51,1,0,0,0,DB,Nebraska
Tyrique Stevenson,Tyrique Stevenson,CHI,Chicago,115,14,45,22,67,0.0,0,1,11,2,43,43,1,1,0,0,DB,Miami
Antonio Johnson,Antonio Johnson,JAX,Jacksonville,115,15,50,17,67,0.0,0,1,1,0,0,0,0,0,0,0,DB,Texas A&M
Malik Mustapha,Malik Mustapha,SF,San Francisco,115,14,27,40,67,0.0,0,2,5,1,1,1,0,0,0,0,DB,Wake Forest
Cameron Heyward,Cameron Heyward,PIT,Pittsburgh,122,15,33,33,66,8.0,62,11,8,0,0,0,0,0,0,0,DT,Ohio State
Malik Hooker,Malik Hooker,DAL,Dallas,122,15,40,26,66,0.0,0,1,4,2,20,21,0,0,0,0,DB,Ohio State
Harold Landry III,Harold Landry,TEN,Tennessee,122,15,37,29,66,8.0,37,13,4,0,0,0,0,0,0,0,LB,Boston College
Cam Lewis,Marcedes Lewis,BUF,Chicago,122,15,47,19,66,0.0,0,2,4,1,0,0,0,0,0,0,TE,UCLA
Jeffery Simmons,Jeffery Simmons,TEN,Tennessee,122,14,37,29,66,5.0,35,11,4,0,0,0,0,2,2,0,DT,Mississippi State
K.J. Britt,K.J. Britt,TB,Tampa Bay,122,12,35,31,66,0.5,5,0,1,0,0,0,0,0,0,0,LB,Auburn
Nate Landman,Nate Landman,ATL,Atlanta,122,11,31,35,66,0.0,0,0,0,0,0,0,0,3,0,0,LB,Colorado
Michael Jackson,Michael Jackson,CAR,Carolina,129,15,51,14,65,0.0,0,1,14,1,1,1,0,0,0,0,DB,Miami
P.J. Locke,P.J. Locke,DEN,Denver,129,13,44,21,65,1.0,10,3,2,0,0,0,0,1,0,0,DB,Texas
Jalen Pitre,Jalen Pitre,HOU,Houston,129,12,44,21,65,0.0,0,6,8,1,10,10,0,1,0,0,DB,Baylor
Montaric Brown,Montaric Brown,JAX,Jacksonville,129,15,48,17,65,0.0,0,6,7,1,0,0,0,0,0,0,DB,Arkansas
Kyler Gordon,Kyler Gordon,CHI,Chicago,129,13,41,24,65,0.5,4,3,4,0,0,0,0,0,2,0,DB,Washington
Jarvis Brownlee Jr.,Jarvis Brownlee,TEN,Tennessee,129,15,42,23,65,0.0,0,7,8,1,2,2,0,0,0,0,DB,Louisville
Akeem Davis-Gaither,Akeem Davis,CIN,Cincinnati,135,15,30,34,64,0.0,0,2,4,1,12,12,0,0,0,0,LB,Appalachian State
Brandon Stephens,Brandon Stephens,BAL,Baltimore,135,15,53,11,64,1.5,4,3,9,0,0,0,0,0,0,0,DB,Southern Methodist
Payton Wilson,Payton Wilson,PIT,Pittsburgh,135,15,38,26,64,0.0,0,2,2,1,0,0,0,0,2,1,LB,North Carolina State
Joey Porter Jr.,Joey Porter Jr.,PIT,Pittsburgh,135,15,47,17,64,0.0,0,2,6,1,16,16,0,0,0,0,DB,Penn State
Trevin Wallace,Trevin Wallace,CAR,Carolina,135,13,36,28,64,1.0,8,2,0,0,0,0,0,2,1,0,LB,Kentucky
