PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College
Beanie Bishop Jr.,Beanie Bishop,PIT,Pittsburgh,242,15,30,15,45,0.5,3,2,6,3,46,41,0,0,1,0,DB,West Virginia
Deonte Banks,Deonte Banks,NYG,NY Giants,242,12,34,11,45,0.0,0,1,9,0,0,0,0,1,0,0,DB,Maryland
Kamren Kinchens,Kamren Kinchens,LAR,LA Rams,242,15,27,18,45,0.0,0,1,5,3,112,103,1,1,0,0,DB,Miami
Cooper DeJean,Cooper DeJean,PHI,Philadelphia,242,15,34,11,45,0.5,8,3,6,0,0,0,0,1,2,0,DB,Iowa
Jalen Mills,Jalen Mills,NYJ,NY Jets,253,9,17,27,44,0.0,0,1,6,1,0,0,0,1,0,0,DB,Louisiana State
Danielle Hunter,Danielle Hunter,HOU,Houston,253,15,30,14,44,12.0,94,17,3,0,0,0,0,1,0,0,DE,Louisiana State
Daniel Ekuale,Daniel Ekuale,NE,New England,253,14,22,22,44,1.0,6,2,0,0,0,0,0,0,0,0,DT,Washington State
Harrison Phillips,Harrison Phillips,MIN,Minnesota,253,15,14,30,44,2.0,14,2,4,0,0,0,0,1,1,0,DT,Stanford
Denzel Ward,Denzel Ward,CLE,Cleveland,253,15,37,7,44,0.0,0,1,19,2,0,0,0,1,1,0,DB,Ohio State
Kristian Fulton,Kristian Fulton,LAC,LA Chargers,253,13,32,12,44,0.0,0,2,7,1,29,29,0,0,0,0,DB,Louisiana State
Dexter Lawrence II,Dexter Lawrence,NYG,NY Giants,253,12,23,21,44,9.0,65,8,1,0,0,0,0,1,0,0,DT,Clemson
Nick Bosa,Nick Bosa,SF,San Francisco,253,12,28,16,44,7.0,40,11,1,1,30,30,0,1,1,0,DE,Ohio State
Nazeeh Johnson,Nazeeh Johnson,KC,Kansas City,253,14,24,20,44,1.0,17,3,3,0,0,0,0,0,0,0,DB,Marshall
Jack Gibbens,Jack Gibbens,TEN,Tennessee,253,10,22,22,44,0.5,3,2,0,0,0,0,0,0,0,0,LB,Minnesota
Dane Belton,Dane Belton,NYG,NY Giants,253,15,19,25,44,1.0,5,1,4,0,0,0,0,1,0,0,DB,Iowa
Gervon Dexter Sr.,Gervon Dexter,CHI,Chicago,253,13,23,21,44,5.0,37,4,1,0,0,0,0,0,2,0,DT,Florida
DeMarcus Walker,DeMarcus Walker,CHI,Chicago,265,15,23,20,43,3.5,20,5,0,0,0,0,0,0,0,0,DE,Florida State
Jarran Reed,Jarran Reed,SEA,Seattle,265,15,20,23,43,3.5,36,4,2,0,0,0,0,1,0,0,DT,Alabama
Jaylinn Hawkins,Jaylinn Hawkins,NE,New England,265,15,26,17,43,0.0,0,3,1,0,0,0,0,0,1,0,DB,California
Amik Robertson,Amik Robertson,DET,Detroit,265,15,34,9,43,0.0,0,4,6,0,0,0,0,2,0,0,DB,Louisiana Tech
Malcolm Rodriguez,Malcolm Rodriguez,DET,Detroit,265,10,27,16,43,2.0,7,2,1,0,0,0,0,0,1,0,LB,Oklahoma State
Jaylon Johnson,Jaylon Johnson,CHI,Chicago,265,15,34,9,43,0.0,0,7,7,2,11,9,0,0,0,0,DB,Utah
Riq Woolen,Tariq Woolen,SEA,Seattle,265,13,29,14,43,0.0,0,0,13,2,4,4,0,1,0,0,DB,Texas-San Antonio
Nik Bonitto,Nik Bonitto,DEN,Denver,265,15,29,14,43,11.5,80,14,3,1,71,71,1,2,1,1,LB,Oklahoma
Roger McCreary,Roger McCreary,TEN,Tennessee,265,13,36,7,43,1.0,13,11,1,0,0,0,0,0,0,0,DB,Auburn
T'Vondre Sweat,T'Vondre Sweat,TEN,Tennessee,265,15,19,24,43,1.0,9,4,1,0,0,0,0,1,1,0,DT,Texas
Quandre Diggs,Quandre Diggs,TEN,Tennessee,275,8,35,7,42,0.0,0,0,0,0,0,0,0,0,0,0,DB,Texas
Emmanuel Ogbah,Emmanuel Ogbah,MIA,Miami,275,14,22,20,42,3.5,11,7,2,1,0,0,0,0,0,0,LB,Oklahoma State
Marcus Maye,Marcus Maye,LAC/MIA,LA Chargers,275,15,19,23,42,0.0,0,1,3,1,0,0,0,0,0,0,DB,Florida
Sebastian Joseph-Day,Sebastian Joseph,TEN,Tennessee,275,15,18,24,42,2.5,32,3,1,0,0,0,0,0,0,0,DE,Rutgers
Darnell Savage,Darnell Savage,JAX,Jacksonville,275,12,33,9,42,0.0,0,2,6,1,16,16,0,0,0,0,DB,Maryland
Osa Odighizuwa,Osa Odighizuwa,DAL,Dallas,275,15,23,19,42,4.0,22,5,1,0,0,0,0,1,0,0,DT,UCLA
Trevon Diggs,Trevon Diggs,DAL,Dallas,275,11,35,7,42,0.0,0,0,11,2,1,1,0,0,0,0,DB,Alabama
Starling Thomas V,Starling Thomas,ARI,Arizona,275,15,30,12,42,0.0,0,1,6,0,0,0,0,1,0,0,DB,Alabama-Birmingham
Jalen Carter,Jalen Carter,PHI,Philadelphia,275,15,25,17,42,4.5,31,12,5,0,0,0,0,2,0,0,DT,Georgia
John Jenkins,John Jenkins,LV,Las Vegas,284,15,12,29,41,1.0,11,3,2,0,0,0,0,0,0,0,DT,Georgia
Elandon Roberts,Elandon Roberts,PIT,Pittsburgh,284,15,21,20,41,1.0,9,5,0,0,0,0,0,1,0,0,LB,Houston
Sam Hubbard,Sam Hubbard,CIN,Cincinnati,284,14,25,16,41,2.0,6,3,2,1,0,0,0,1,0,0,DE,Ohio State
Myles Garrett,Myles Garrett,CLE,Cleveland,284,15,34,7,41,12.0,85,18,1,0,0,0,0,3,1,0,DE,Texas A&M
David Onyemata,David Onyemata,ATL,Atlanta,284,15,21,20,41,2.0,8,7,1,0,0,0,0,0,0,0,DT,Manitoba
Darious Williams,Darious Williams,LAR,LA Rams,284,11,29,12,41,0.0,0,1,6,1,0,0,0,0,0,0,DB,Alabama-Birmingham
DJ Johnson,D.J. Johnson,CAR,Carolina,284,13,17,24,41,0.5,0,2,1,0,0,0,0,0,1,0,LB,Oregon
Braden Fiske,Braden Fiske,LAR,LA Rams,284,15,18,23,41,6.0,62,8,0,0,0,0,0,2,2,0,DE,Florida State
Quinyon Mitchell,Quinyon Mitchell,PHI,Philadelphia,284,15,32,9,41,0.0,0,0,10,0,0,0,0,0,0,0,DB,Toledo
Jadeveon Clowney,Jadeveon Clowney,CAR,Carolina,293,12,22,18,40,3.5,39,7,3,0,0,0,0,0,0,0,LB,South Carolina
Jabrill Peppers,Jabrill Peppers,NE,New England,293,6,20,20,40,0.0,0,2,2,1,0,0,0,1,0,0,DB,Michigan
Shy Tuttle,Shy Tuttle,CAR,Carolina,293,13,20,20,40,0.0,0,0,3,0,0,0,0,1,2,0,DT,Tennessee
Malcolm Roach,Malcolm Roach,DEN,Denver,293,15,17,23,40,2.5,14,4,2,0,0,0,0,1,1,0,DT,Texas
Baylon Spector,Baylon Spector,BUF,Buffalo,293,11,22,18,40,1.5,1,2,0,0,0,0,0,0,1,0,LB,Clemson
Grant Stuard,Grant Stuard,IND,Indianapolis,293,15,25,15,40,0.0,0,2,0,0,0,0,0,0,0,0,LB,Houston
LaBryan Ray,LaBryan Ray,CAR,Carolina,293,14,15,25,40,1.0,5,2,0,0,0,0,0,0,0,0,DE,Alabama
Elijah Hicks,Elijah Hicks,CHI,Chicago,293,12,24,16,40,0.0,0,0,2,0,0,0,0,0,2,0,DB,California
Jonathan Owens,Jonathan Owens,CHI,Chicago,293,15,24,16,40,0.0,0,1,2,1,0,0,0,1,1,0,DB,Missouri Western State
Bobby Brown III,Bobby Brown,LAR,LA Rams,293,15,13,27,40,0.0,0,3,0,0,0,0,0,0,0,0,DT,Texas A&M
Cobie Durant,Decobie Durant,LAR,LA Rams,293,13,28,12,40,1.0,11,4,6,1,0,0,0,1,0,0,DB,South Carolina State
Nolan Smith Jr.,Nolan Smith,PHI,Philadelphia,293,15,21,19,40,6.5,42,7,2,0,0,0,0,0,2,0,LB,Georgia
Jaquan Brisker,Jaquan Brisker,CHI,Chicago,293,5,23,17,40,1.0,9,3,2,1,0,0,0,1,0,0,DB,Penn State
Leonard Floyd,Leonard Floyd,SF,San Francisco,306,15,23,16,39,8.5,40,8,1,0,0,0,0,1,0,0,LB,Georgia
Josh Hines-Allen,Joshua Hines-Allen,JAX,Jacksonville,306,15,23,16,39,7.0,46,8,2,0,0,0,0,1,1,0,DE,Kentucky
Pat Jones II,Donovan Peoples-Jones,MIN,Detroit,306,14,19,20,39,7.0,47,9,0,0,0,0,0,1,0,0,WR,Michigan
Darrell Baker Jr.,Darrell Baker,TEN,Tennessee,306,15,31,8,39,0.0,0,1,5,0,0,0,0,0,0,0,DB,Georgia Southern
Rashan Gary,Rashan Gary,GB,Green Bay,306,14,21,18,39,6.5,35,6,1,0,0,0,0,1,0,0,LB,Michigan
Percy Butler,Percy Butler,WSH,Washington,306,15,23,16,39,0.0,0,2,1,0,0,0,0,0,0,0,DB,Louisiana-Lafayette
Darius Muasau,Darius Muasau,NYG,NY Giants,306,13,20,19,39,0.0,0,2,1,1,1,1,0,0,0,0,LB,UCLA
Tuli Tuipulotu,Tuli Tuipulotu,LAC,LA Chargers,306,15,23,16,39,7.5,19,9,2,0,0,0,0,1,0,0,LB,Southern California
Chau Smith-Wade,Chau Smith-Wade,CAR,Carolina,306,14,24,15,39,0.0,0,1,1,1,3,3,0,1,0,0,DB,Washington State
Daryl Worley,Daryl Worley,TEN,Tennessee,315,7,22,16,38,0.0,0,0,2,1,0,0,0,0,0,0,DB,West Virginia
Trey Hendrickson,Trey Hendrickson,CIN,Cincinnati,315,15,28,10,38,13.5,98,15,5,0,0,0,0,2,0,0,DE,Florida Atlantic
Poona Ford,Poona Ford,LAC,LA Chargers,315,15,23,15,38,3.0,19,8,5,1,3,3,0,0,0,0,DE,Texas
Vita Vea,Vita Vea,TB,Tampa Bay,315,14,25,13,38,6.0,39,9,1,0,0,0,0,0,0,0,DT,Washington
D.J. Jones,D.J. Jones,DEN,Denver,315,15,20,18,38,0.5,2,1,3,0,0,0,0,0,1,0,DT,Mississippi
Daron Payne,Daron Payne,WSH,Washington,315,15,21,17,38,4.0,37,5,1,0,0,0,0,0,0,0,DT,Alabama
Nnamdi Madubuike,Khalil Mack,BAL,Los Angeles Chargers,315,15,19,19,38,5.5,18,9,1,0,0,0,0,1,0,0,LB,Buffalo
Javon Kinlaw,Javon Kinlaw,NYJ,NY Jets,315,15,25,13,38,3.5,37,4,0,0,0,0,0,1,1,0,DT,South Carolina
Marist Liufau,Marist Liufau,DAL,Dallas,315,15,21,17,38,1.5,9,3,3,0,0,0,0,2,1,0,LB,Notre Dame
Jer'Zhan Newton,Jer'Zhan Newton,WSH,Washington,315,14,18,20,38,2.0,8,6,1,0,0,0,0,1,1,0,DT,Illinois
Khalil Mack,Khalil Mack,LAC,LA Chargers,325,14,18,19,37,5.0,33,5,8,0,0,0,0,2,1,0,LB,Buffalo
Shelby Harris,Shelby Harris,CLE,Cleveland,325,14,18,19,37,1.5,9,5,2,0,0,0,0,1,0,0,DT,Illinois State
Chris Jones,Chris Jones,KC,Kansas City,325,15,19,18,37,5.0,23,9,0,0,0,0,0,1,0,0,DT,Mississippi State
Larry Ogunjobi,Larry Ogunjobi,PIT,Pittsburgh,325,13,14,23,37,1.5,11,5,0,0,0,0,0,0,0,0,DT,North Carolina-Charlotte
John Franklin-Myers,John Franklin-Myers,DEN,Denver,325,15,17,20,37,5.5,40,7,0,0,0,0,0,0,0,0,DE,Stephen F. Austin
Isaac Yiadom,Isaac Yiadom,SF,San Francisco,325,15,30,7,37,0.0,0,0,6,1,11,11,0,1,1,0,DB,Boston College
Mike Brown,Mike Brown,TEN,Tennessee,325,15,18,19,37,0.0,0,0,1,0,0,0,0,0,0,0,DB,Miami (OH)
Marte Mapu,Marte Mapu,NE,New England,325,8,16,21,37,0.5,5,1,6,1,6,6,0,3,0,0,DB,Sacramento State
Kwity Paye,Kwity Paye,IND,Indianapolis,325,13,26,11,37,7.0,43,8,0,0,0,0,0,1,0,0,DE,Michigan
Micah Parsons,Micah Parsons,DAL,Dallas,325,11,25,12,37,9.5,70,9,1,0,0,0,0,2,0,0,LB,Penn State
Joseph Ossai,Joseph Ossai,CIN,Cincinnati,325,15,21,16,37,4.0,27,4,0,0,0,0,0,1,0,0,DE,Texas
Travis Jones,Travis Jones,BAL,Baltimore,325,15,20,17,37,1.0,11,4,0,0,0,0,0,0,0,0,DT,Connecticut
Dante Stills,Dante Stills,ARI,Arizona,325,14,16,21,37,4.5,32,4,1,0,0,0,0,1,0,0,DE,West Virginia
Josh Sweat,Josh Sweat,PHI,Philadelphia,338,15,24,12,36,8.0,54,9,2,0,0,0,0,0,0,0,LB,Florida State
Arden Key,Arden Key,TEN,Tennessee,338,15,23,13,36,6.5,38,11,1,0,0,0,0,2,1,0,LB,Louisiana State
Mike Danna,Mike Danna,KC,Kansas City,338,11,17,19,36,1.5,14,2,1,0,0,0,0,1,0,0,DE,Michigan
Eric Stokes,Eric Stokes,GB,Green Bay,338,14,25,11,36,0.0,0,0,0,0,0,0,0,0,0,0,DB,Georgia
Kader Kohou,Kader Kohou,MIA,Miami,338,13,27,9,36,0.0,0,3,7,2,2,2,0,1,1,0,DB,Texas A&M-Commerce
Kingsley Enagbare,Kingsley Enagbare,GB,Green Bay,338,14,17,19,36,4.5,37,6,0,0,0,0,0,2,0,0,LB,South Carolina
Pat Surtain II,,DEN,,338,14,27,9,36,0.0,0,1,11,4,132,100,1,0,0,0,,
Mazi Smith,Mazi Smith,DAL,Dallas,338,15,19,17,36,0.5,4,3,0,0,0,0,0,0,0,0,DT,Michigan
Jaylen McCollough,Jaylen McCollough,LAR,LA Rams,338,15,22,14,36,0.0,0,0,4,4,6,4,1,0,0,0,DB,Tennessee
Ronnie Hickman,Ronnie Hickman,CLE,Cleveland,338,12,25,11,36,0.0,0,1,1,0,0,0,0,0,1,0,DB,Ohio State
Rodney McLeod Jr.,Rodney McLeod,CLE,Cleveland,348,15,26,9,35,0.0,0,2,4,0,0,0,0,0,1,1,DB,Virginia
Shaq Thompson,Shaq Thompson,CAR,Carolina,348,4,19,16,35,0.0,0,2,0,0,0,0,0,0,0,0,LB,Washington
Jonathan Bullard,Jonathan Bullard,MIN,Minnesota,348,15,18,17,35,0.0,0,6,2,0,0,0,0,0,0,0,DE,Florida
Anthony Nelson,Anthony Nelson,TB,Tampa Bay,348,15,22,13,35,3.0,21,5,1,0,0,0,0,1,1,0,LB,Iowa
Matthew Judon,Matt Judon,ATL,Atlanta,348,15,20,15,35,4.5,33,5,5,1,27,27,1,0,0,0,LB,Grand Valley State
Quinnen Williams,Quinnen Williams,NYJ,NY Jets,348,14,24,11,35,6.0,50,8,0,0,0,0,0,0,0,0,DT,Alabama
AJ Epenesa,A.J. Epenesa,BUF,Buffalo,348,15,19,16,35,5.0,44,6,2,0,0,0,0,2,0,0,DE,Iowa
Brandin Echols,Brandin Echols,NYJ,NY Jets,348,14,25,10,35,0.0,0,1,3,2,0,0,0,0,1,0,DB,Kentucky
Jonah Elliss,Jonah Elliss,DEN,Denver,348,15,23,12,35,5.0,28,7,2,0,0,0,0,0,0,0,LB,Utah
Kyle Van Noy,Kyle Van Noy,BAL,Baltimore,357,14,21,13,34,10.5,69,12,2,0,0,0,0,2,1,0,LB,Brigham Young
Shaquill Griffin,Shaquill Griffin,MIN,Minnesota,357,15,27,7,34,0.0,0,1,6,2,28,28,0,0,0,0,DB,Central Florida
Marshon Lattimore,Marshon Lattimore,WSH/NO,Washington,357,9,25,9,34,0.0,0,0,5,0,0,0,0,0,0,0,DB,Ohio State
Donte Jackson,Donte Jackson,PIT,Pittsburgh,357,14,24,10,34,0.0,0,2,8,5,88,49,0,0,1,0,DB,Louisiana State
Krys Barnes,Krys Barnes,ARI,Arizona,357,15,19,15,34,2.0,5,3,0,0,0,0,0,0,0,0,LB,UCLA
Alex Highsmith,Alex Highsmith,PIT,Pittsburgh,357,9,21,13,34,6.0,40,9,1,0,0,0,0,1,0,0,LB,North Carolina-Charlotte
Boye Mafe,Boye Mafe,SEA,Seattle,357,13,19,15,34,6.0,59,8,3,0,0,0,0,1,0,0,LB,Minnesota
Arnold Ebiketie,Arnold Ebiketie,ATL,Atlanta,357,15,22,12,34,5.0,15,6,2,0,0,0,0,0,1,0,LB,Penn State
Cam Hart,Cam Hart,LAC,LA Chargers,357,12,25,9,34,0.5,1,0,6,0,0,0,0,1,0,0,DB,Notre Dame
Derick Hall,Derick Hall,SEA,Seattle,357,15,19,15,34,7.0,39,5,0,0,0,0,0,2,1,1,LB,Auburn
Byron Murphy II,Byron Murphy,SEA,Minnesota,357,12,10,24,34,0.5,5,2,0,0,0,0,0,0,0,0,DB,Washington
Byron Murphy II,Byron Murphy,SEA,Seattle,357,12,10,24,34,0.5,5,2,0,0,0,0,0,0,0,0,DT,Texas
Will Anderson Jr.,Will Anderson,HOU,Houston,357,13,25,9,34,10.5,82,14,1,0,0,0,0,1,1,0,DE,Alabama
Dante Fowler Jr.,Dante Fowler Jr.,WSH,Washington,369,15,22,11,33,9.5,64,13,1,1,67,67,1,1,0,0,LB,Florida
Luke Gifford,Luke Gifford,TEN,Tennessee,369,14,23,10,33,0.0,0,1,1,1,0,0,0,0,0,0,LB,Nebraska
Marcus Williams,Marcus Williams,BAL,Baltimore,369,11,26,7,33,0.0,0,1,2,0,0,0,0,0,1,0,DB,Utah
Charles Snowden,Charles Snowden,LV,Las Vegas,369,14,14,19,33,1.5,14,3,4,0,0,0,0,0,0,0,DE,Virginia
Odafe Oweh,Kool-Aid McKinstry,BAL,New Orleans Saints,369,15,20,13,33,8.0,56,7,0,0,0,0,0,1,0,0,CB,Alabama
Otito Ogbonnia,Otito Ogbonnia,LAC,LA Chargers,369,15,13,20,33,0.0,0,0,0,0,0,0,0,0,0,0,DT,UCLA
Josh Jobe,Josh Jobe,SEA,Seattle,369,9,25,8,33,0.0,0,0,7,1,33,33,0,0,0,0,DB,Alabama
Jack Sanborn,Jack Sanborn,CHI,Chicago,369,15,17,16,33,1.5,9,2,3,0,0,0,0,0,0,0,LB,Wisconsin
George Karlaftis,George Karlaftis,KC,Kansas City,369,15,19,14,33,7.0,36,8,4,0,0,0,0,0,0,0,DE,Purdue
Kool-Aid McKinstry,Jeremiah Ledbetter,NO,Jacksonville Jaguars,369,12,26,7,33,0.0,0,2,5,0,0,0,0,0,0,0,DT,Arkansas
Troy Hill,Troy Hill,TB/CAR,Tampa Bay,379,8,20,12,32,0.0,0,1,1,0,0,0,0,0,0,0,DB,Oregon
Za'Darius Smith,Za'Darius Smith,CLE/DET,Detroit,379,15,19,13,32,8.0,50,8,0,0,0,0,0,0,0,0,DE,Kentucky
Khalen Saunders,Khalen Saunders,NO,New Orleans,379,10,14,18,32,2.0,18,2,1,1,37,37,0,0,0,0,DT,Western Illinois
Kenny Clark,Kenny Clark,GB,Green Bay,379,14,18,14,32,1.0,7,4,1,0,0,0,0,0,2,0,DT,UCLA
Jeremiah Ledbetter,Jeremiah Ledbetter,JAX,Jacksonville,379,13,19,13,32,2.0,15,8,0,0,0,0,0,0,0,0,DT,Arkansas
Dorance Armstrong,Dorance Armstrong,WSH,Washington,379,14,17,15,32,4.0,23,5,0,0,0,0,0,1,0,0,DE,Kansas
Nathan Shepherd,Nathan Shepherd,NO,New Orleans,379,14,13,19,32,1.5,11,3,0,0,0,0,0,0,0,0,DT,Fort Hays State
Samuel Womack III,Sam Womack,IND,Indianapolis,379,15,22,10,32,0.0,0,0,9,2,4,4,0,0,0,0,DB,Toledo
Jarrian Jones,Jarrian Jones,JAX,Jacksonville,379,15,24,8,32,1.0,9,1,7,1,0,0,0,0,0,0,DB,Florida State
Demani Richardson,Demani Richardson,CAR,Carolina,379,12,20,12,32,0.0,0,0,2,1,3,3,0,0,0,0,DB,Texas A&M
Dadrion Taylor-Demerson,Dadrion Taylor,ARI,Arizona,379,15,20,12,32,0.0,0,2,5,0,0,0,0,0,0,0,DB,Texas Tech
Clark Phillips III,Clark Phillips,ATL,Atlanta,379,14,25,7,32,0.0,0,2,3,1,45,45,0,1,1,0,DB,Utah
Cole Bishop,Cole Bishop,BUF,Buffalo,379,14,19,13,32,0.0,0,1,1,0,0,0,0,1,0,0,DB,Utah
Jaylen Watson,Jaylen Watson,KC,Kansas City,379,6,21,11,32,0.0,0,0,6,0,12,0,0,0,0,0,DB,Washington State
Alex Singleton,Alex Singleton,DEN,Denver,393,3,17,14,31,0.0,0,1,1,1,21,21,0,0,0,0,LB,Montana State
Damontae Kazee,Damontae Kazee,PIT,Pittsburgh,393,13,22,9,31,0.0,0,0,2,1,5,5,0,0,0,0,DB,San Diego State
Micheal Clemons,Micheal Clemons,NYJ,NY Jets,393,15,15,16,31,4.5,40,4,0,0,0,0,0,1,0,0,DE,Texas A&M
Chad Muma,Chad Muma,JAX,Jacksonville,393,15,12,19,31,0.0,0,0,0,0,0,0,0,0,0,0,LB,Wyoming
Laiatu Latu,Laiatu Latu,IND,Indianapolis,393,15,16,15,31,4.0,23,5,1,0,0,0,0,3,1,0,DE,UCLA
Jaylon Carlies,Jaylon Carlies,IND,Indianapolis,393,8,20,11,31,1.0,8,2,1,0,0,0,0,0,0,0,LB,Missouri
Preston Smith,Preston Smith,PIT/GB,Pittsburgh,399,16,11,19,30,3.5,22,4,0,0,0,0,0,0,0,0,LB,Mississippi State
Maliek Collins,Maliek Collins,SF,San Francisco,399,15,18,12,30,5.0,37,4,0,0,0,0,0,0,2,0,DT,Nebraska
Eddie Jackson,Jackson Powers-Johnson,BAL,Las Vegas,399,9,18,12,30,0.0,0,1,1,0,0,0,0,0,0,0,OG,Oregon
Nick Scott,Nick Scott,CAR,Carolina,399,8,16,14,30,0.0,0,0,2,0,0,0,0,0,0,0,DB,Penn State
Da'Shawn Hand,Da'Shawn Hand,MIA,Miami,399,15,20,10,30,1.0,5,5,1,0,0,0,0,1,0,0,DT,Alabama
J.J. Russell,J.J. Russell,TB,Tampa Bay,399,14,18,12,30,0.0,0,0,1,0,0,0,0,0,1,0,LB,Memphis
Isaiah McGuire,Isaiah McGuire,CLE,Cleveland,399,14,14,16,30,1.5,23,6,0,0,0,0,0,3,0,0,DE,Missouri
Dell Pettus,Dell Pettus,NE,New England,399,15,16,14,30,1.0,7,1,1,0,0,0,0,0,0,0,DB,Troy State
Dee Winters,Dee Winters,SF,San Francisco,399,13,20,10,30,0.0,0,0,4,0,0,0,0,0,0,0,LB,Texas Christian
Decamerion Richardson,Decamerion Richardson,LV,Las Vegas,399,10,19,11,30,0.0,0,1,2,0,0,0,0,0,0,0,DB,Mississippi State
Tavius Robinson,Tavius Robinson,BAL,Baltimore,399,15,12,18,30,3.5,17,4,1,0,0,0,0,0,0,0,LB,Mississippi
Mario Edwards Jr.,Mario Edwards Jr.,HOU,Houston,410,11,11,18,29,2.0,18,2,2,0,0,0,0,0,2,0,DT,Florida State
Amani Oruwariye,Amani Oruwariye,DAL,Dallas,410,7,23,6,29,0.0,0,1,3,1,0,0,0,0,0,0,DB,Penn State
Lorenzo Carter,Lorenzo Carter,ATL,Atlanta,410,11,20,9,29,0.0,0,1,0,0,0,0,0,1,0,0,LB,Georgia
Montez Sweat,Montez Sweat,CHI,Chicago,410,14,17,12,29,4.5,30,8,2,0,0,0,0,1,0,0,DE,Mississippi State
Tim Settle Jr.,Tim Settle,HOU,Houston,410,15,23,6,29,5.0,41,10,0,0,0,0,0,0,1,0,DT,Virginia Tech
Devon Key,Devon Key,DEN,Denver,410,15,14,15,29,1.0,0,0,0,0,0,0,0,0,0,0,DB,Western Kentucky
Darnay Holmes,Darnay Holmes,LV,Las Vegas,410,15,14,15,29,1.0,8,2,3,0,0,0,0,0,0,0,DB,UCLA
Keeanu Benton,Keeanu Benton,PIT,Pittsburgh,410,15,12,17,29,0.0,0,1,6,1,11,11,0,0,1,0,DT,Wisconsin
Sam Okuayinonu,Sam Okuayinonu,SF,San Francisco,410,14,21,8,29,3.0,15,5,1,0,0,0,0,1,0,0,DT,Maryland
DJ Turner II,DJ Turner,CIN,Cincinnati,410,11,24,5,29,0.0,0,1,8,0,0,0,0,0,0,0,DB,Michigan
Nate Wiggins,Nate Wiggins,BAL,Baltimore,410,13,21,8,29,0.0,0,0,11,0,0,0,0,1,0,0,DB,Clemson
Lukas Van Ness,Lukas Van Ness,GB,Green Bay,410,14,20,9,29,3.0,6,6,0,0,0,0,0,1,1,0,LB,Iowa
Johnathan Hankins,Johnathan Hankins,SEA,Seattle,422,15,14,14,28,1.0,8,5,1,1,0,0,0,0,0,0,DT,Ohio State
Levi Wallace,Levi Wallace,DEN,Denver,422,13,20,8,28,0.0,0,0,2,0,0,0,0,0,0,0,DB,Alabama
K'Lavon Chaisson,K'Lavon Chaisson,LV,Las Vegas,422,13,16,12,28,4.0,29,6,2,1,0,0,0,0,0,0,DE,Louisiana State
Dayo Odeyingbo,Dayo Odeyingbo,IND,Indianapolis,422,15,13,15,28,3.0,20,7,0,0,0,0,0,2,1,0,DE,Vanderbilt
DaRon Bland,DaRon Bland,DAL,Dallas,422,5,18,10,28,0.0,0,0,4,0,0,0,0,1,1,0,DB,Fresno State
Claudin Cherelus,Claudin Cherelus,CAR,Carolina,422,13,13,15,28,0.0,0,0,0,0,0,0,0,0,0,0,LB,Alcorn State
Damone Clark,Damone Clark,DAL,Dallas,422,13,16,12,28,0.5,4,1,1,0,0,0,0,0,0,0,LB,Louisiana State
Azeez Ojulari,Azeez Ojulari,NYG,NY Giants,422,11,12,16,28,6.0,31,7,0,0,0,0,0,0,1,0,LB,Georgia
Kris Jenkins Jr.,Kris Jenkins,CIN,Cincinnati,422,13,10,18,28,3.0,15,3,0,0,0,0,0,0,0,0,DT,Michigan
Joshua Williams,Joshua Williams,KC,Kansas City,422,15,17,11,28,1.0,12,2,3,0,0,0,0,0,0,0,DB,Fayetteville State
Chris Board,Chris Board,BAL,Baltimore,432,15,15,12,27,0.0,0,1,0,0,0,0,0,0,0,0,LB,North Dakota State
Jerry Tillery,Jerry Tillery,MIN,Minnesota,432,15,12,15,27,0.0,0,1,2,0,0,0,0,0,0,0,DT,Notre Dame
D.J. Wonnum,D.J. Wonnum,CAR,Carolina,432,6,15,12,27,4.0,30,4,1,0,0,0,0,1,0,0,LB,South Carolina
Roy Lopez,Roy Lopez,ARI,Arizona,432,14,10,17,27,1.0,10,4,3,0,0,0,0,1,1,0,DT,Arizona
Talanoa Hufanga,Talanoa Hufanga,SF,San Francisco,432,5,11,16,27,0.0,0,1,0,0,0,0,0,0,0,0,DB,Southern California
Greg Newsome II,Greg Newsome,CLE,Cleveland,432,13,24,3,27,0.0,0,0,5,1,-2,-2,0,0,0,0,DB,Northwestern
Caelen Carson,Caelen Carson,DAL,Dallas,432,6,24,3,27,0.0,0,0,4,0,0,0,0,0,0,0,DB,Wake Forest
Owen Pappoe,Owen Pappoe,ARI,Arizona,432,14,18,9,27,0.0,0,0,2,0,0,0,0,1,0,0,LB,Auburn
Anfernee Orji,Anfernee Orji,NO,New Orleans,432,14,15,12,27,0.0,0,2,0,0,0,0,0,0,0,0,LB,Vanderbilt
Bud Dupree,Tershawn Wharton,LAC,Kansas City Chiefs,441,15,17,9,26,6.0,30,6,2,1,0,0,0,1,0,0,DT,Missouri S&T
Arik Armstead,Arik Armstead,JAX,Jacksonville,441,15,21,5,26,2.0,11,3,1,0,0,0,0,0,0,0,DE,Oregon
Deatrich Wise Jr.,Deatrich Wise,NE,New England,441,13,15,11,26,5.0,26,5,3,0,0,0,0,0,0,0,DE,Arkansas
L.J. Collier,L.J. Collier,ARI,Arizona,441,15,10,16,26,3.5,19,4,1,0,0,0,0,0,1,0,DE,Texas Christian
