PLR_NAME,TEAM,RK,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Daniel Jones,NYG,26,10,216,341,63.3,2070,6.1,207.0,43,8,7,29,172,47.6,79.4
Trevor Lawrence,JAX,27,10,172,284,60.6,2045,7.2,204.5,85,11,7,18,140,58.7,85.2
Gardner Minshew,LV,28,10,203,306,66.3,2013,6.6,201.3,57,9,10,29,164,38.1,81.0
Dak Prescott,DAL,29,8,185,286,64.7,1978,6.9,247.3,65,11,8,21,112,46.8,86.0
Bryce Young,CAR,30,12,194,322,60.2,1949,6.1,162.4,83,10,9,24,148,47.2,76.2
Will Levis,TEN,31,11,181,284,63.7,1916,6.7,174.2,98,12,12,40,225,30.2,79.8
Anthony Richardson,IND,32,11,126,264,47.7,1814,6.9,164.9,69,8,12,14,115,47.2,61.6
Cooper Rush,DAL,33,11,172,280,61.4,1697,6.1,154.3,64,11,3,12,88,40.8,87.2
Mac Jones,JAX,34,8,136,208,65.4,1273,6.1,159.1,62,5,7,10,80,36.0,76.1
Mason Rudolph,TEN,35,6,120,188,63.8,1267,6.7,211.2,47,8,8,7,48,54.4,79.8
Joe Flacco,IND,36,6,113,170,66.5,1167,6.9,194.5,65,9,5,13,101,54.7,91.5
Aidan O'Connell,LV,37,7,110,174,63.2,1156,6.6,165.1,58,4,3,9,72,39.5,82.9
Deshaun Watson,CLE,38,7,137,216,63.4,1148,5.3,164.0,35,5,3,33,191,23.1,79.0
Justin Fields,PIT,39,10,106,161,65.8,1106,6.9,110.6,55,5,1,16,124,53.4,93.3
Andy Dalton,CAR,40,6,106,160,66.3,989,6.2,164.8,39,7,6,7,37,56.5,82.0
Jacoby Brissett,NE,41,7,94,159,59.1,828,5.2,118.3,50,2,1,18,119,43.6,74.6
Spencer Rattler,NO,42,4,69,120,57.5,706,5.9,176.5,41,2,2,14,73,41.1,73.1
Drew Lock,NYG,43,6,68,129,52.7,624,4.8,104.0,23,1,4,12,88,33.0,55.8
Desmond Ridder,LV,44,5,51,83,61.4,447,5.4,89.4,28,2,2,10,64,30.5,73.7
Malik Willis,GB,45,5,29,39,74.4,380,9.7,76.0,51,3,0,5,16,88.9,130.3
Tyler Huntley,MIA,46,3,39,66,59.1,377,5.7,125.7,25,1,1,7,45,23.9,73.9
Tim Boyle,MIA/NYG,47,3,27,50,54.0,276,5.5,92.0,30,1,1,2,11,32.2,68.4
Tommy DeVito,NYG,48,3,31,44,70.5,257,5.8,85.7,23,0,0,6,31,26.1,85.1
Dorian Thompson-Robinson,CLE,48,5,35,68,51.5,257,3.8,51.4,29,0,5,6,35,18.0,30.1
Michael Penix Jr.,ATL,50,3,21,32,65.6,240,7.5,80.0,22,0,1,1,0,50.9,75.0
Jake Haener,NO,51,8,18,39,46.2,226,5.8,28.3,36,1,1,6,55,13.7,62.6
Marcus Mariota,WSH,52,2,19,26,73.1,203,7.8,101.5,25,2,0,1,4,58.6,121.2
Brandon Allen,SF,53,3,17,30,56.7,199,6.6,66.3,31,1,2,2,2,34.8,60.3
Skylar Thompson,MIA,54,3,21,33,63.6,187,5.7,62.3,22,0,0,6,44,3.5,78.7
Kenny Pickett,PHI,55,4,15,27,55.6,148,5.5,37.0,45,1,1,4,33,55.2,68.1
Davis Mills,HOU,56,2,7,13,53.8,79,6.1,39.5,25,0,0,1,7,89.1,72.3
Hendon Hooker,DET,57,3,6,9,66.7,62,6.9,20.7,21,0,0,1,9,42.5,86.3
Nick Mullens,MIN,58,4,2,2,100.0,38,19.0,9.5,24,0,0,0,0,97.7,118.8
Tyrod Taylor,NYJ,59,1,6,8,75.0,36,4.5,36.0,9,1,0,0,0,95.9,122.9
Jaxon Smith-Njigba,SEA,60,15,1,1,100.0,35,35.0,2.3,35,0,0,0,0,100.0,118.8
AJ Cole,LV,61,15,1,1,100.0,34,34.0,2.3,34,0,0,0,0,,118.8
Courtland Sutton,DEN,62,15,2,2,100.0,30,15.0,2.0,28,1,0,0,0,100.0,158.3
Taylor Heinicke,LAC,63,3,3,3,100.0,28,9.3,9.3,18,0,0,3,28,6.3,105.6
Sam Howell,SEA,64,3,5,14,35.7,24,1.7,8.0,12,0,1,4,21,3.4,14.6
Adonai Mitchell,IND,64,15,1,1,100.0,24,24.0,1.6,24,0,0,0,0,71.5,118.8
Justin Jefferson,MIN,66,15,1,1,100.0,22,22.0,1.5,22,0,0,0,0,27.7,118.8
Taysom Hill,NO,67,8,2,4,50.0,21,5.3,2.6,18,0,1,0,0,92.4,26.0
Cedrick Wilson Jr.,NO,67,12,1,1,100.0,21,21.0,1.8,21,1,0,0,0,100.0,158.3
Trey Lance,DAL,67,2,4,6,66.7,21,3.5,10.5,10,0,1,2,7,4.4,32.6
Carson Wentz,KC,70,2,2,2,100.0,20,10.0,10.0,12,0,0,0,0,35.7,108.3
Kyle Allen,PIT,71,1,1,1,100.0,19,19.0,19.0,19,0,0,0,0,99.4,118.8
Jack Fox,DET,72,15,1,1,100.0,17,17.0,1.1,17,0,0,0,0,,118.8
Stefon Diggs,HOU,73,8,1,1,100.0,13,13.0,1.6,13,0,0,0,0,14.6,118.8
Tyson Bagent,CHI,74,4,2,2,100.0,11,5.5,2.8,6,0,0,0,0,52.5,89.6
Mitchell Trubisky,BUF,75,7,3,4,75.0,9,2.3,1.3,4,0,0,0,0,3.1,77.1
Clayton Tune,ARI,76,5,2,2,100.0,8,4.0,1.6,7,0,0,0,0,0.3,83.3
Amon-Ra St. Brown,DET,77,15,1,1,100.0,7,7.0,0.5,7,1,0,0,0,99.5,135.4
Kyle Trask,TB,78,3,1,1,100.0,5,5.0,1.7,5,0,0,0,0,89.9,87.5
Bryan Anger,DAL,79,15,1,2,50.0,4,2.0,0.3,4,0,0,0,0,,56.3
Riley Dixon,DEN,80,15,1,1,100.0,3,3.0,0.2,3,0,0,0,0,,79.2
JK Scott,LAC,80,15,1,1,100.0,3,3.0,0.2,3,0,0,0,0,,79.2
David Montgomery,DET,80,14,1,1,100.0,3,3.0,0.2,3,1,0,0,0,100.0,118.8
Josh Johnson,BAL,83,4,1,1,100.0,1,1.0,0.3,1,0,0,1,5,1.6,79.2
