PLR_NAME,TEAM,RK,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Brandon Aiyuk,SF,118,7,25,47,374,15.0,0,53,5,53.4,0,0,107,19
Olamide Zaccheaus,WSH,119,15,35,50,370,10.6,2,49,3,24.7,0,0,227,19
Evan Engram,JAX,120,9,47,64,365,7.8,1,24,2,40.6,1,1,150,17
Diontae Johnson,BAL/CAR,121,11,31,63,363,11.7,3,39,5,33.0,0,0,87,20
D'Andre Swift,CHI,122,15,38,45,358,9.4,0,42,4,23.9,0,0,360,10
KaVontae Turpin,DAL,123,15,27,43,351,13.0,2,64,5,23.4,1,1,209,15
Brenton Strange,JAX,123,15,36,48,351,9.8,2,30,6,23.4,1,1,159,17
Rashid Shaheed,NO,125,6,20,41,349,17.5,3,70,5,58.2,0,0,106,12
Marvin Mims Jr.,DEN,125,15,26,39,349,13.4,2,93,4,23.3,0,0,366,9
Aaron Jones,MIN,127,15,42,51,348,8.3,2,25,4,23.2,2,2,353,15
Austin Ekeler,WSH,128,11,33,39,346,10.5,0,34,8,31.5,1,0,403,13
Parker Washington,JAX,129,15,27,44,344,12.7,1,30,5,22.9,0,0,94,16
David Montgomery,DET,130,14,36,38,341,9.5,0,40,2,24.4,0,0,365,16
Cedric Tillman,CLE,131,11,29,49,339,11.7,3,38,6,30.8,1,1,104,15
Chase Brown,CIN,132,15,50,61,336,6.7,4,34,2,22.4,0,0,303,21
Jalen McMillan,TB,132,11,27,47,336,12.4,5,32,6,30.5,0,0,107,17
Theo Johnson,NYG,134,12,29,43,331,11.4,1,35,4,27.6,0,0,149,16
David Moore,CAR,135,15,30,53,325,10.8,2,21,2,21.7,0,0,56,16
Sterling Shepard,TB,136,13,31,49,323,10.4,1,30,4,24.8,0,0,99,15
Mack Hollins,BUF,137,15,26,44,320,12.3,5,44,3,21.3,0,0,73,21
Bucky Irving,TB,137,15,41,43,320,7.8,0,32,2,21.3,0,0,429,13
Dontayvion Wicks,GB,139,14,27,58,310,11.5,4,36,4,22.1,0,0,121,19
Dawson Knox,BUF,140,15,21,30,307,14.6,1,39,7,20.5,0,0,93,12
Foster Moreau,NO,141,14,23,31,302,13.1,4,41,5,21.6,0,0,113,16
Josh Jacobs,GB,141,14,31,38,302,9.7,1,49,5,21.6,0,0,354,13
Ja'Tavion Sanders,CAR,141,14,29,37,302,10.4,1,46,5,21.6,1,0,169,11
Kenneth Walker III,SEA,144,11,46,53,299,6.5,1,21,1,27.2,0,0,363,19
Javonte Williams,DEN,145,15,47,64,296,6.3,0,34,2,19.7,0,0,346,12
Dyami Brown,WSH,146,15,27,36,292,10.8,1,51,5,19.5,1,1,192,12
Joe Mixon,HOU,147,12,33,48,291,8.8,1,37,4,24.3,0,0,329,12
Adonai Mitchell,IND,148,15,21,50,290,13.8,0,36,4,19.3,1,0,81,14
Samaje Perine,KC,149,15,25,32,289,11.6,1,36,5,19.3,0,0,291,14
Zach Charbonnet,SEA,149,15,39,49,289,7.4,1,30,3,19.3,0,0,312,7
Colby Parkinson,LAR,151,15,29,47,288,9.9,1,23,2,19.2,0,0,154,15
Rashee Rice,KC,151,4,24,29,288,12.0,2,44,3,72.0,0,0,186,15
Jordan Akins,CLE,153,15,28,42,281,10.0,1,21,2,18.7,1,0,135,15
Jalen Nailor,MIN,154,15,20,33,280,14.0,5,33,5,18.7,0,0,74,17
Greg Dortch,ARI,155,15,30,43,277,9.2,1,39,1,18.5,1,1,237,13
Alexander Mattison,LV,155,12,31,40,277,8.9,1,31,3,23.1,0,0,296,11
Saquon Barkley,PHI,157,15,31,41,276,8.9,2,43,4,18.4,0,0,244,12
Ty Johnson,BUF,158,15,16,22,275,17.2,3,41,5,18.3,0,0,156,13
Mike Williams,PIT/NYJ,159,16,20,31,273,13.6,1,32,5,17.1,0,0,35,13
Kendrick Bourne,NE,160,10,24,32,271,11.3,1,37,2,27.1,0,0,84,11
Jaylen Warren,PIT,161,13,33,40,269,8.2,0,29,2,20.7,1,0,278,13
Lil'Jordan Humphrey,DEN,162,15,29,43,267,9.2,1,41,5,17.8,2,1,187,10
Tyrone Tracy Jr.,NYG,163,15,34,48,263,7.7,1,19,0,17.5,1,0,263,13
Van Jefferson,PIT,164,15,21,35,258,12.3,2,43,4,17.2,0,0,76,11
James Cook,BUF,164,14,32,38,258,8.1,2,28,3,18.4,0,0,260,14
Tyler Johnson,LAR,166,14,22,34,256,11.6,0,63,3,18.3,0,0,154,7
Najee Harris,PIT,166,15,30,39,256,8.5,0,32,4,17.1,0,0,294,11
Grant Calcaterra,PHI,168,15,21,24,254,12.1,1,34,5,16.9,0,0,122,14
Troy Franklin,DEN,169,14,25,49,252,10.1,2,30,5,18.0,0,0,142,10
Josh Oliver,MIN,170,13,20,25,242,12.1,3,28,5,18.6,0,0,119,13
Gabe Davis,JAX,171,10,20,42,239,11.9,2,22,6,23.9,1,1,39,13
Tony Pollard,TEN,172,15,41,57,238,5.8,0,30,2,15.9,0,0,221,9
Rico Dowdle,DAL,173,14,36,45,233,6.5,3,22,1,16.6,0,0,238,12
Nelson Agholor,BAL,174,14,14,29,231,16.5,2,56,5,16.5,0,0,85,10
Ameer Abdullah,LV,175,15,37,43,229,6.2,3,24,1,15.3,0,0,227,14
Jerome Ford,CLE,176,13,37,43,225,6.1,0,26,3,17.3,0,0,294,10
Luke Schoonmaker,DAL,176,15,25,34,225,9.0,1,24,3,15.0,0,0,88,10
Justin Watson,KC,178,15,19,27,224,11.8,1,25,1,14.9,0,0,59,11
Josh Whyle,TEN,179,15,23,29,219,9.5,1,33,3,14.6,0,0,130,13
Tyjae Spears,TEN,180,11,27,31,216,8.0,1,43,2,19.6,0,0,251,9
AJ Barner,SEA,181,15,25,33,211,8.4,3,20,1,14.1,0,0,137,14
JuJu Smith-Schuster,KC,182,12,15,22,209,13.9,2,50,3,17.4,0,0,140,10
Kalif Raymond,DET,183,11,16,21,204,12.8,2,38,3,18.5,0,0,131,9
Tommy Tremble,CAR,183,10,21,29,204,9.7,1,38,2,20.4,1,1,107,10
Curtis Samuel,BUF,185,13,24,38,201,8.4,1,38,2,15.5,0,0,100,8
Jordan Whittington,LAR,185,13,18,23,201,11.2,0,31,2,15.5,0,0,126,10
Travis Etienne Jr.,JAX,187,13,35,45,199,5.7,0,21,1,15.3,0,0,230,10
Brandin Cooks,DAL,188,8,19,37,192,10.1,3,29,2,24.0,0,0,37,15
