PLR_NAME,TEAM,RK,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Cam Akers,HOU/MIN,306,15,10,13,49,4.9,2,9,0,3.3,0,0,50,2
Jamison Crowder,WSH,307,4,6,8,47,7.8,2,12,0,11.8,0,0,8,3
Tyquan Thornton,NE,307,6,4,8,47,11.8,0,17,0,7.8,0,0,24,2
D'Onta Foreman,CLE,309,9,5,5,46,9.2,0,16,0,5.1,0,0,42,1
Dante Pettis,NO,309,5,5,11,46,9.2,0,12,0,9.2,0,0,20,3
Blake Corum,LAR,309,15,6,7,46,7.7,0,12,0,3.1,0,0,54,4
Emanuel Wilson,GB,309,14,9,12,46,5.1,1,30,1,3.3,0,0,86,3
Hollywood Brown,KC,313,1,5,8,45,9.0,0,20,1,45.0,0,0,35,2
Cody White,SEA,314,4,2,3,44,22.0,0,28,1,11.0,0,0,13,2
Ty Chandler,MIN,315,15,6,6,42,7.0,0,10,0,2.8,0,0,53,2
Jordan Mims,NO,315,9,4,7,42,10.5,0,25,1,4.7,0,0,44,2
Blake Whiteheart,CLE,315,9,4,7,42,10.5,1,29,1,4.7,0,0,4,2
Ben Sims,GB,315,14,4,5,42,10.5,0,28,1,3.0,0,0,16,1
Malik Heath,GB,319,11,6,7,41,6.8,1,12,0,3.7,0,0,10,3
MyCole Pruitt,PIT,320,10,6,10,40,6.7,1,18,0,4.0,0,0,16,2
Charlie Woerner,ATL,320,14,6,11,40,6.7,0,13,0,2.9,0,0,21,3
Austin Trammell,JAX,320,1,2,3,40,20.0,0,22,1,40.0,0,0,9,2
Hassan Haskins,LAC,323,15,2,2,39,19.5,1,34,1,2.6,0,0,36,1
Davis Allen,LAR,323,13,6,12,39,6.5,0,13,0,3.0,0,0,21,2
Xavier Gipson,NYJ,323,15,6,10,39,6.5,1,17,0,2.6,0,0,22,3
Jamaal Williams,NO,326,11,7,9,38,5.4,0,13,0,3.5,0,0,39,2
Tip Reiman,ARI,327,15,6,7,37,6.2,0,14,0,2.5,0,0,29,1
Sione Vaki,DET,327,14,3,3,37,12.3,0,17,0,2.6,0,0,20,2
Gerald Everett,CHI,329,15,8,12,36,4.5,0,17,0,2.4,0,0,41,1
Dee Eskridge,MIA,329,5,2,2,36,18.0,0,30,1,7.2,0,0,18,2
Laviska Shenault Jr.,LAC/SEA,329,12,5,5,36,7.2,0,18,0,3.0,0,0,46,2
Britain Covey,PHI,332,5,7,8,34,4.9,0,11,0,6.8,0,0,28,2
Divine Deablo,LV,332,12,1,1,34,34.0,0,34,1,2.8,0,0,30,1
Treylon Burks,TEN,332,5,4,8,34,8.5,0,13,0,6.8,0,0,5,3
Connor Heyward,PIT,335,15,5,7,32,6.4,1,16,0,2.1,0,0,7,2
Nick Chubb,CLE,336,8,5,11,31,6.2,1,19,0,3.9,0,0,31,3
Alex Bachman,LV,336,6,3,3,31,10.3,0,18,0,5.2,0,0,10,2
Tucker Fisk,LAC,336,7,6,7,31,5.2,0,10,0,4.4,0,0,18,1
Parris Campbell,PHI,339,5,6,8,30,5.0,1,7,0,6.0,0,0,9,1
Michael Carter,ARI,339,1,5,5,30,6.0,0,18,0,30.0,0,0,35,2
Tim Jones,JAX,339,15,2,4,30,15.0,0,20,1,2.0,0,0,17,2
Zamir White,LV,339,8,6,8,30,5.0,0,14,0,3.8,0,0,50,2
Dan Chisena,CAR,343,4,2,3,29,14.5,0,23,1,7.3,0,0,9,1
Will Mallory,IND,343,10,4,8,29,7.3,0,10,0,2.9,0,0,4,1
Sincere McCormick,LV,343,5,6,7,29,4.8,0,15,0,5.8,0,0,29,2
Greg Dulcich,DEN/NYG,346,7,5,12,28,5.6,0,9,0,4.0,0,0,15,0
Scott Matlock,LAC,346,15,4,5,28,7.0,0,10,0,1.9,0,0,23,1
Ben Sinnott,WSH,346,15,5,5,28,5.6,1,12,0,1.9,0,0,19,2
Kenny Yeboah,NYJ,349,7,3,4,27,9.0,1,12,0,3.9,0,0,27,2
David Bell,CLE,349,2,3,3,27,9.0,0,12,0,13.5,0,0,8,1
Peyton Hendershot,KC,351,5,3,3,26,8.7,0,11,0,5.2,0,0,15,1
DJ Chark Jr.,LAC,352,5,3,3,25,8.3,0,12,0,5.0,0,0,7,0
Carson Steele,KC,353,15,5,9,24,4.8,0,9,0,1.6,0,0,35,0
Anthony Gould,IND,354,6,1,1,23,23.0,0,23,1,3.8,0,0,5,1
Jonathon Brooks,CAR,354,3,3,3,23,7.7,0,18,0,7.7,0,0,31,2
Jeremy McNichols,WSH,356,15,7,9,22,3.1,0,10,0,1.5,0,0,26,0
Ronnie Bell,SF,356,9,2,6,22,11.0,0,12,0,2.4,0,0,2,2
Kenny McIntosh,SEA,356,15,3,3,22,7.3,0,15,0,1.5,0,0,17,1
Luke Musgrave,GB,356,4,5,7,22,4.4,0,6,0,5.5,0,0,15,1
Jamari Thrash,CLE,356,7,3,5,22,7.3,0,11,0,3.1,0,0,14,2
Shane Zylstra,DET,356,10,1,1,22,22.0,0,22,1,2.2,0,0,13,1
James Proche II,CLE,362,7,3,3,21,7.0,0,14,0,3.0,0,0,4,1
Devontez Walker,BAL,362,7,1,1,21,21.0,1,21,1,3.0,0,0,0,1
C.J. Ham,MIN,364,15,3,4,20,6.7,0,9,0,1.3,1,1,17,0
Deven Thompkins,CAR,364,7,4,4,20,5.0,0,12,0,2.9,0,0,28,2
Zay Jones,ARI,366,9,3,5,19,6.3,0,13,0,2.1,0,0,14,2
Jeff Wilson Jr.,MIA,366,7,3,3,19,6.3,0,7,0,2.7,0,0,19,0
Kristian Wilkerson,LV,368,3,2,3,18,9.0,1,9,0,6.0,0,0,11,2
Marcus Jones,NE,368,14,1,1,18,18.0,0,18,0,1.3,0,0,25,1
Deuce Vaughn,DAL,368,6,3,5,18,6.0,0,8,0,3.0,0,0,13,0
Mason Kinsey,TEN,371,4,2,2,17,8.5,0,11,0,4.3,0,0,0,1
Chris Blair,ATL,371,2,1,1,17,17.0,0,17,0,8.5,0,0,0,1
Tanner Conner,MIA,373,8,3,4,16,5.3,0,11,0,2.0,0,0,5,1
Quintin Morris,BUF,373,14,2,3,16,8.0,1,14,0,1.1,0,0,8,2
Malachi Corley,NYJ,373,8,3,6,16,5.3,0,10,0,2.0,0,0,5,1
Trenton Irwin,CIN,376,7,3,10,15,5.0,0,6,0,2.1,0,0,4,1
Josiah Deguara,JAX,377,13,3,3,14,4.7,0,8,0,1.1,0,0,7,0
Casey Washington,ATL,377,8,1,2,14,14.0,0,14,0,1.8,0,0,11,1
Audric Estime,DEN,377,11,4,4,14,3.5,0,11,0,1.3,0,0,23,1
Johnny Wilson,PHI,377,14,2,10,14,7.0,1,9,0,1.0,0,0,6,2
Patrick Taylor Jr.,SF,381,11,2,7,13,6.5,0,12,0,1.2,0,0,12,1
Blake Watson,DEN,381,2,1,2,13,13.0,0,13,0,6.5,0,0,18,0
Terrace Marshall Jr.,LV,381,5,2,4,13,6.5,0,7,0,2.6,0,0,1,0
River Cracraft,MIA,384,6,2,4,12,6.0,0,6,0,2.0,0,0,4,0
Isaiah Hodgins,NYG,384,3,2,2,12,6.0,0,7,0,4.0,0,0,1,0
Cam Grandy,CIN,384,6,3,3,12,4.0,0,9,0,2.0,0,0,4,1
Tyler Higbee,LAR,387,1,1,2,11,11.0,1,11,0,11.0,0,0,11,1
Myles Gaskin,MIN,387,5,1,1,11,11.0,0,11,0,2.2,0,0,13,0
Khalil Herbert,CHI/CIN,387,12,3,3,11,3.7,0,7,0,0.9,0,0,15,0
Travis Homer,CHI,387,10,3,3,11,3.7,0,6,0,1.1,0,0,10,0
Julius Chestnut,TEN,387,15,2,2,11,5.5,0,9,0,0.7,0,0,14,0
Grant DuBose,MIA,387,3,2,4,11,5.5,0,13,0,3.7,0,0,3,1
Dalvin Cook,DAL,393,2,1,1,10,10.0,0,10,0,5.0,0,0,7,1
Jack Stoll,MIA/PHI,393,9,2,3,10,5.0,0,6,0,1.1,0,0,2,0
Dallin Holker,NO,393,9,1,1,10,10.0,0,10,0,1.1,0,0,11,1
Jermar Jefferson,DET,393,1,1,1,10,10.0,0,10,0,10.0,0,0,10,1
Allen Robinson,DET,397,11,2,6,9,4.5,0,7,0,0.8,0,0,2,2
Eric Tomlinson,LAC,397,9,2,4,9,4.5,0,7,0,1.0,0,0,12,0
Dan Skipper,DET,397,15,1,1,9,9.0,1,9,0,0.6,0,0,8,1
Brandon Johnson,PIT,397,3,1,1,9,9.0,0,9,0,3.0,0,0,4,0
Kendric Pryor,CIN,397,1,1,1,9,9.0,0,9,0,9.0,0,0,0,0
Tristan Wirfs,TB,397,14,0,0,9,0.0,0,9,0,0.6,1,0,9,0
Patrick Ricard,BAL,403,15,2,4,8,4.0,1,5,0,0.5,0,0,5,1
Velus Jones Jr.,CHI/CAR,403,2,1,1,8,8.0,0,8,0,4.0,0,0,13,0
Jha'Quan Jackson,TEN,403,12,1,3,8,8.0,0,8,0,0.7,0,0,2,1
Jaylen Wright,MIA,403,13,3,6,8,2.7,0,6,0,0.6,0,0,8,1
Geoff Swaim,CLE,407,8,1,1,7,7.0,0,7,0,0.9,0,0,5,0
Jared Goff,DET,407,15,1,1,7,7.0,1,7,0,0.5,0,0,2,1
Josh Allen,BUF,407,15,0,0,7,0.0,1,7,0,0.5,0,0,7,1
Ian Thomas,CAR,407,5,3,6,7,2.3,0,3,0,1.4,0,0,6,1
John Samuel Shenker,LV,407,6,1,1,7,7.0,0,7,0,1.2,0,0,3,0
Brevin Jordan,HOU,407,2,2,3,7,3.5,0,4,0,3.5,0,0,3,1
Ramel Keyton,LV,407,6,1,3,7,7.0,0,7,0,1.2,0,0,0,1
Jared Wiley,KC,407,7,1,1,7,7.0,0,7,0,1.0,0,0,3,0
Gus Edwards,LAC,415,11,3,5,6,2.0,0,3,0,0.5,0,0,11,0
John Ross,PHI,415,1,1,2,6,6.0,0,6,0,6.0,0,0,2,1
Collin Johnson,CHI,415,7,1,2,6,6.0,0,6,0,0.9,0,0,3,1
Jaelon Darden,SEA/CLE,415,10,1,1,6,6.0,0,6,0,0.6,0,0,9,1
David Martin-Robinson,TEN,415,3,1,2,6,6.0,0,6,0,2.0,0,0,6,1
Xavier Smith,LAR,415,13,2,2,6,3.0,0,11,0,0.5,0,0,5,1
Ainias Smith,PHI,415,5,3,3,6,2.0,0,5,0,1.2,0,0,7,0
Isaiah Williams,CIN/DET,415,6,2,3,6,3.0,0,4,0,1.0,0,0,7,0
Robbie Chosen,MIA,423,2,1,4,5,5.0,0,5,0,2.5,0,0,1,0
Ross Dwelley,ATL,423,15,1,1,5,5.0,0,5,0,0.3,0,0,4,0
Mike Caliendo,KC,423,15,1,1,5,5.0,0,5,0,0.3,0,0,3,1
Charlie Jones,CIN,423,8,1,1,5,5.0,0,5,0,0.6,0,0,0,0
Jody Fortson,KC,423,3,1,3,5,5.0,0,5,0,1.7,0,0,2,1
Craig Reynolds,DET,423,15,1,1,5,5.0,0,5,0,0.3,0,0,9,0
Tyler Scott,CHI,423,9,1,1,5,5.0,0,5,0,0.6,0,0,7,0
Zach Davidson,BUF,423,3,1,2,5,5.0,0,5,0,1.7,0,0,2,0
Chris Conley,SF,431,13,1,7,4,4.0,0,4,0,0.3,0,0,0,0
Vederian Lowe,NE,431,12,1,1,4,4.0,1,4,0,0.3,0,0,0,1
Juanyeh Thomas,DAL,431,11,1,1,4,4.0,0,4,0,0.4,0,0,0,0
MarShawn Lloyd,GB,434,1,1,1,3,3.0,0,3,0,3.0,0,0,8,0
Marcedes Lewis,CHI,435,15,1,1,2,2.0,0,2,0,0.1,0,0,1,1
Chris Manhertz,NYG,435,15,1,2,2,2.0,1,2,0,0.1,0,0,0,1
Jake Brendel,SF,435,15,0,0,2,0.0,0,2,0,0.1,1,0,2,0
Sam Hubbard,CIN,435,14,1,1,2,2.0,1,2,0,0.1,0,0,0,1
Patrick Mahomes,KC,435,15,1,1,2,2.0,0,2,0,0.1,0,0,3,0
Dameon Pierce,HOU,435,9,2,2,2,1.0,0,1,0,0.2,0,0,5,0
John FitzPatrick,GB,435,6,1,1,2,2.0,0,2,0,0.3,0,0,0,0
Bo Nix,DEN,435,15,1,1,2,2.0,1,2,0,0.1,0,0,0,1
Trent Scott,WSH,443,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1
DeeJay Dallas,ARI,443,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1
Jaheim Bell,NE,443,13,1,2,1,1.0,0,1,0,0.1,0,0,3,0
Wanya Morris,KC,443,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1
Kendre Miller,NO,443,4,2,5,1,0.5,0,6,0,0.3,0,0,4,0
Jordan Matthews,CAR,448,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
C.J. Goodwin,DAL,448,15,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Taylor Decker,DET,448,12,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Braxton Berrios,MIA,448,6,0,4,0,0.0,0,0,0,0.0,0,0,0,0
Andrew Beck,HOU/GB,448,4,0,2,0,0.0,0,0,0,0.0,0,0,0,0
Tom Kennedy,DET,448,3,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Irvin Charles,NYJ,448,13,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Adam Prentice,NO,448,14,0,3,0,0.0,0,0,0,0.0,0,0,0,0
Feleipe Franks,CAR,448,14,0,2,0,0.0,0,0,0,0.0,0,0,0,0
Stephen Sullivan,CAR,448,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
J.J. Taylor,HOU,448,5,2,3,0,0.0,0,2,0,0.0,0,0,1,0
Sam Franklin Jr.,CAR,448,8,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Kadarius Toney,CLE,448,3,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Ronnie Rivers,LAR,448,15,1,1,0,0.0,0,0,0,0.0,0,0,7,0
James Pierre,PIT,448,13,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Justyn Ross,KC,448,2,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Erik Ezukanma,MIA,448,2,0,2,0,0.0,0,0,0,0.0,0,0,0,0
Ben VanSumeren,PHI,448,11,1,1,0,0.0,0,0,0,0.0,0,0,0,0
Dareke Young,SEA,448,12,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Baylor Cupp,KC,448,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Xavier Weaver,ARI,448,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Skyy Moore,KC,448,6,0,3,0,0.0,0,0,0,0.0,0,0,0,0
JC Latham,TEN,448,15,1,1,0,0.0,0,0,0,0.0,0,0,4,0
C.J. Stroud,HOU,448,15,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Tyler Smith,DAL,448,14,1,1,0,0.0,0,0,0,0.0,0,0,6,0
Javon Baker,NE,448,9,0,2,0,0.0,0,0,0,0.0,0,0,0,0
Kameron Johnson,TB,448,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
Anthony Richardson,IND,475,11,1,1,-1,-1.0,0,-1,0,-0.1,0,0,7,0
George Holani,SEA,475,3,1,1,-1,-1.0,0,-1,0,-0.3,0,0,0,0
Brycen Tremayne,WSH,477,1,1,1,-2,-2.0,0,-2,0,-2.0,0,0,0,0
Tyler Badie,DEN,477,3,3,3,-2,-0.7,0,2,0,-0.7,1,1,4,0
Zach Frazier,PIT,477,13,0,0,-2,0.0,0,-2,0,-0.2,0,0,-2,0
Dominick Puni,SF,480,15,0,0,-3,0.0,0,-3,0,-0.2,0,0,-3,0
Trevor Lawrence,JAX,481,10,0,0,-5,0.0,0,-5,0,-0.5,1,0,-5,0
