PLR_NAME,Player,Team ABR,Team,RK,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Position,College
Jacoby Brissett,Jacoby Brissett,NE,New England,41,7,94,159,59.1,828,5.2,118.3,50,2,1,18,119,43.6,74.6,QB,North Carolina State
Spencer Rattler,Spencer Rattler,NO,New Orleans,42,4,69,120,57.5,706,5.9,176.5,41,2,2,14,73,41.1,73.1,QB,South Carolina
Drew Lock,Drew Lock,NYG,NY Giants,43,6,68,129,52.7,624,4.8,104.0,23,1,4,12,88,33.0,55.8,QB,Missouri
Desmond Ridder,Desmond Ridder,LV,Las Vegas,44,5,51,83,61.4,447,5.4,89.4,28,2,2,10,64,30.5,73.7,QB,Cincinnati
Malik Willis,Malik Willis,GB,Green Bay,45,5,29,39,74.4,380,9.7,76.0,51,3,0,5,16,88.9,130.3,QB,Liberty
Tyler Huntley,Tyler Huntley,MIA,Miami,46,3,39,66,59.1,377,5.7,125.7,25,1,1,7,45,23.9,73.9,QB,Utah
Tim Boyle,Tim Boyle,MIA/NYG,NY Giants,47,3,27,50,54.0,276,5.5,92.0,30,1,1,2,11,32.2,68.4,QB,Eastern Kentucky
Tommy DeVito,Tommy DeVito,NYG,NY Giants,48,3,31,44,70.5,257,5.8,85.7,23,0,0,6,31,26.1,85.1,QB,Illinois
Dorian Thompson-Robinson,Dorian Thompson-Robinson,CLE,Cleveland,48,5,35,68,51.5,257,3.8,51.4,29,0,5,6,35,18.0,30.1,QB,UCLA
Michael Penix Jr.,Michael Penix,ATL,Atlanta,50,3,21,32,65.6,240,7.5,80.0,22,0,1,1,0,50.9,75.0,QB,Washington
Jake Haener,Jake Haener,NO,New Orleans,51,8,18,39,46.2,226,5.8,28.3,36,1,1,6,55,13.7,62.6,QB,Fresno State
Marcus Mariota,Marcus Mariota,WSH,Washington,52,2,19,26,73.1,203,7.8,101.5,25,2,0,1,4,58.6,121.2,QB,Oregon
Brandon Allen,Brandon Allen,SF,San Francisco,53,3,17,30,56.7,199,6.6,66.3,31,1,2,2,2,34.8,60.3,QB,Arkansas
Skylar Thompson,Skylar Thompson,MIA,Miami,54,3,21,33,63.6,187,5.7,62.3,22,0,0,6,44,3.5,78.7,QB,Kansas State
Kenny Pickett,Kenny Pickett,PHI,Philadelphia,55,4,15,27,55.6,148,5.5,37.0,45,1,1,4,33,55.2,68.1,QB,Pittsburgh
Davis Mills,Davis Mills,HOU,Houston,56,2,7,13,53.8,79,6.1,39.5,25,0,0,1,7,89.1,72.3,QB,Stanford
Hendon Hooker,Hendon Hooker,DET,Detroit,57,3,6,9,66.7,62,6.9,20.7,21,0,0,1,9,42.5,86.3,QB,Tennessee
Nick Mullens,Nick Mullens,MIN,Minnesota,58,4,2,2,100.0,38,19.0,9.5,24,0,0,0,0,97.7,118.8,QB,Southern Mississippi
Tyrod Taylor,Tyrod Taylor,NYJ,NY Jets,59,1,6,8,75.0,36,4.5,36.0,9,1,0,0,0,95.9,122.9,QB,Virginia Tech
Jaxon Smith-Njigba,Jaxon Smith-Njigba,SEA,Seattle,60,15,1,1,100.0,35,35.0,2.3,35,0,0,0,0,100.0,118.8,WR,Ohio State
AJ Cole,A.J. Cole,LV,Las Vegas,61,15,1,1,100.0,34,34.0,2.3,34,0,0,0,0,100.0,118.8,P,North Carolina State
Courtland Sutton,Courtland Sutton,DEN,Denver,62,15,2,2,100.0,30,15.0,2.0,28,1,0,0,0,100.0,158.3,WR,Southern Methodist
Taylor Heinicke,Taylor Heinicke,LAC,LA Chargers,63,3,3,3,100.0,28,9.3,9.3,18,0,0,3,28,6.3,105.6,QB,Old Dominion
Sam Howell,Sam Howell,SEA,Seattle,64,3,5,14,35.7,24,1.7,8.0,12,0,1,4,21,3.4,14.6,QB,North Carolina
Adonai Mitchell,Adonai Mitchell,IND,Indianapolis,64,15,1,1,100.0,24,24.0,1.6,24,0,0,0,0,71.5,118.8,WR,Texas
Justin Jefferson,Justin Jefferson,MIN,Minnesota,66,15,1,1,100.0,22,22.0,1.5,22,0,0,0,0,27.7,118.8,WR,Louisiana State
Taysom Hill,Taysom Hill,NO,New Orleans,67,8,2,4,50.0,21,5.3,2.6,18,0,1,0,0,92.4,26.0,TE,Brigham Young
Cedrick Wilson Jr.,Cedrick Wilson,NO,New Orleans,67,12,1,1,100.0,21,21.0,1.8,21,1,0,0,0,100.0,158.3,WR,Boise State
Trey Lance,Trey Lance,DAL,Dallas,67,2,4,6,66.7,21,3.5,10.5,10,0,1,2,7,4.4,32.6,QB,North Dakota State
Carson Wentz,Carson Wentz,KC,Kansas City,70,2,2,2,100.0,20,10.0,10.0,12,0,0,0,0,35.7,108.3,QB,North Dakota State
Kyle Allen,Kyle Allen,PIT,Pittsburgh,71,1,1,1,100.0,19,19.0,19.0,19,0,0,0,0,99.4,118.8,QB,Houston
Jack Fox,Jack Fox,DET,Detroit,72,15,1,1,100.0,17,17.0,1.1,17,0,0,0,0,14.6,118.8,P,Rice
