PLR_NAME,TEAM,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD
Kyle Hamilton,BAL,30,15,73,29,102,2.0,19,4,8,0,0,0,0,2,1,0
Jahlani Tavai,NE,33,15,53,48,101,1.0,7,7,5,1,0,0,0,0,0,0
Brandon Jones,DEN,33,14,70,31,101,0.0,0,2,10,3,74,37,0,1,1,0
Devin Lloyd,JAX,33,14,53,48,101,1.0,5,5,3,0,0,0,0,1,0,0
Jeremy Chinn,WSH,36,15,63,36,99,1.0,9,5,3,1,0,0,0,1,2,0
Julian Love,SEA,37,15,72,26,98,0.0,0,3,9,2,26,26,0,2,1,0
Grant Delpit,CLE,37,14,57,41,98,1.0,9,6,1,0,0,0,0,0,1,0
Terrel Bernard,BUF,37,12,55,43,98,1.0,6,5,3,2,1,1,0,0,1,0
Nick Bolton,KC,37,15,70,28,98,3.0,28,11,4,1,0,0,0,1,1,0
Tyler Nubin,NYG,37,13,57,41,98,0.0,0,4,1,0,0,0,0,1,1,0
Josey Jewell,CAR,42,12,51,46,97,3.5,26,7,7,1,0,0,0,0,2,0
Quincy Williams,NYJ,42,15,62,35,97,2.0,22,8,2,0,0,0,0,3,2,0
Cody Barton,DEN,42,15,49,48,97,1.5,3,2,4,2,71,56,0,1,1,1
Henry To'oTo'o,HOU,42,13,50,47,97,1.5,1,7,3,1,0,0,0,1,0,0
DeShon Elliott,PIT,46,13,64,32,96,0.0,0,4,6,1,0,0,0,2,3,0
Brian Branch,DET,46,14,72,24,96,0.0,0,7,15,4,48,47,0,1,0,0
Josh Metellus,MIN,48,15,57,38,95,0.0,0,2,4,2,16,12,0,1,0,0
Kenneth Murray Jr.,TEN,48,14,57,38,95,3.5,13,8,2,1,6,6,0,1,0,0
Tremaine Edmunds,CHI,50,15,52,42,94,1.0,7,3,6,1,0,0,0,1,0,0
Bobby Okereke,NYG,51,12,47,46,93,2.0,4,6,3,0,0,0,0,3,2,0
Blake Cashman,MIN,51,12,57,36,93,3.0,24,7,8,0,0,0,0,0,1,0
Tre'von Moehrig,LV,53,15,60,32,92,1.0,4,5,10,2,28,16,0,0,2,0
Isaiah McDuffie,GB,54,14,43,47,90,0.5,0,2,3,0,0,0,0,1,0,0
DeMarvion Overshown,DAL,54,13,56,34,90,5.0,32,8,4,1,23,23,1,1,1,0
Frankie Luvu,WSH,56,15,47,42,89,8.0,46,11,7,1,0,0,0,1,2,0
Derwin James Jr.,LAC,57,14,56,32,88,3.5,14,7,6,1,2,2,0,0,0,0
Tyrel Dodson,SEA/MIA,57,15,48,40,88,2.0,9,5,3,1,0,0,0,1,0,0
Foyesade Oluokun,JAX,59,11,54,33,87,1.0,9,5,6,1,0,0,0,0,0,0
Minkah Fitzpatrick,PIT,60,15,54,32,86,0.0,0,1,4,1,25,25,0,1,0,0
Drue Tranquill,KC,61,15,48,37,85,2.0,11,5,2,0,0,0,0,0,2,0
Jessie Bates III,ATL,61,15,51,34,85,0.0,0,1,10,4,55,55,1,4,1,0
Camryn Bynum,MIN,61,15,46,39,85,0.0,0,1,10,3,3,3,0,0,1,0
Jaylon Jones,IND,61,15,59,26,85,0.0,0,3,12,2,5,5,0,1,0,0
Jordan Poyer,MIA,65,14,43,41,84,0.0,0,0,2,0,0,0,0,0,0,0
Devon Witherspoon,SEA,65,15,56,28,84,0.0,0,3,7,0,0,0,0,1,0,0
Damar Hamlin,BUF,67,13,58,25,83,0.0,0,2,5,2,19,19,0,0,1,0
Justin Reid,KC,68,15,56,26,82,0.0,0,5,8,1,8,8,0,0,0,0
Jalen Thompson,ARI,68,13,52,30,82,0.0,0,2,2,0,0,0,0,0,1,0
Ventrell Miller,JAX,70,15,53,27,80,0.0,0,4,3,0,0,0,0,1,0,0
Mike Sainristil,WSH,70,15,53,27,80,0.0,0,1,11,2,38,38,0,1,1,0
Harrison Smith,MIN,72,14,51,28,79,1.0,8,3,9,2,0,0,0,0,1,0
De'Vondre Campbell,SF,72,13,44,35,79,0.0,0,3,2,0,0,0,0,0,0,0
Donovan Wilson,DAL,72,15,41,38,79,3.5,26,5,5,1,0,0,0,2,1,0
Quan Martin,WSH,72,15,43,36,79,0.0,0,2,1,0,0,0,0,3,0,0
Alontae Taylor,NO,72,14,55,24,79,4.0,33,7,13,0,0,0,0,2,0,0
Julian Blackmon,IND,77,14,56,21,77,0.5,1,1,3,2,17,17,0,0,1,0
Jordan Whitehead,TB,78,11,47,29,76,0.0,0,2,3,0,0,0,0,0,0,0
Geno Stone,CIN,78,15,44,32,76,0.0,0,0,6,4,88,49,1,0,1,0
Deommodore Lenoir,SF,78,14,48,28,76,0.0,0,2,9,2,33,33,0,1,0,0
Isaiah Pola-Mao,LV,78,15,50,26,76,1.0,8,1,3,0,0,0,0,2,0,0
Taylor Rapp,BUF,82,12,42,33,75,0.0,0,2,6,2,5,5,0,1,0,0
Tony Adams,NYJ,82,13,37,38,75,1.0,0,2,6,1,0,0,0,0,0,0
Xavier McKinney,GB,82,14,50,25,75,1.0,8,2,9,7,111,48,0,0,1,0
Reed Blankenship,PHI,82,14,51,24,75,0.0,0,0,6,4,29,28,0,0,1,0
Christian Izien,TB,82,14,48,27,75,0.0,0,4,3,1,17,17,0,1,0,0
Javon Bullard,GB,87,13,50,24,74,0.0,0,1,1,0,0,0,0,0,0,0
A'Shawn Robinson,CAR,88,14,42,31,73,5.5,46,8,1,0,0,0,0,1,0,0
Devin Bush,CLE,88,15,42,31,73,1.0,2,5,3,0,0,0,0,0,0,0
Jason Pinnock,NYG,88,14,42,31,73,3.0,13,4,1,0,0,0,0,0,0,0
Chamarri Conner,KC,91,14,55,17,72,1.0,9,4,4,2,32,29,0,1,1,1
Trenton Simpson,BAL,91,15,40,32,72,1.5,13,5,4,0,0,0,0,0,1,0
Tyrice Knight,SEA,91,14,36,36,72,1.0,6,3,2,0,0,0,0,0,1,0
Jordan Hicks,CLE,94,11,38,33,71,2.0,7,4,4,0,0,0,0,0,0,0
Amani Hooker,TEN,94,14,47,24,71,0.0,0,4,9,5,68,30,0,2,0,0
Byron Murphy Jr.,MIN,94,15,54,17,71,0.0,0,5,13,6,2,2,0,1,0,0
Elijah Molden,LAC,94,14,41,30,71,0.0,0,2,7,3,28,25,0,0,2,0
Kerby Joseph,DET,94,15,49,22,71,0.0,0,1,10,7,60,33,1,0,0,0
Riley Moss,DEN,94,12,53,18,71,0.0,0,1,8,1,0,0,0,1,1,0
Martin Emerson Jr.,CLE,94,15,56,15,71,0.0,0,3,5,0,0,0,0,1,1,0
Ja'Quan McMillian,DEN,94,15,52,19,71,1.0,14,3,9,2,44,44,1,1,0,0
Anfernee Jennings,NE,102,14,39,31,70,2.5,13,6,0,0,0,0,0,1,0,0
Pete Werner,NO,102,11,45,25,70,0.0,0,3,1,0,0,0,0,0,0,0
Bryan Cook,KC,102,15,51,19,70,0.0,0,1,5,2,0,0,0,0,0,0
Zyon McCollum,TB,102,15,46,24,70,0.0,0,1,12,2,4,4,0,0,1,0
Keisean Nixon,GB,102,14,45,25,70,2.0,14,5,6,1,16,16,0,2,0,0
Kyle Dugger,NE,102,11,47,23,70,1.0,4,8,4,0,0,0,0,1,0,0
Dee Alford,ATL,102,14,53,17,70,1.0,4,1,10,0,0,0,0,1,0,0
Ji'Ayir Brown,SF,102,15,45,25,70,0.0,0,3,5,1,0,0,0,0,0,0
Andrew Van Ginkel,MIN,110,15,45,24,69,11.0,73,17,5,2,73,63,2,1,0,0
Kamren Curl,LAR,110,15,44,25,69,1.0,10,1,8,0,0,0,0,2,1,1
Anthony Walker Jr.,MIA,112,14,34,34,68,1.0,0,0,2,1,5,5,0,0,0,0
Azeez Al-Shaair,HOU,112,10,45,23,68,2.0,2,7,4,0,0,0,0,2,0,0
Jaycee Horn,CAR,112,15,49,19,68,2.0,27,5,13,1,0,0,0,0,0,0
Justin Strnad,DEN,115,15,43,24,67,3.0,8,7,3,0,0,0,0,0,0,0
Mack Wilson Sr.,ARI,115,14,40,27,67,3.0,20,4,4,1,0,0,0,0,1,0
Kenny Moore II,IND,115,13,44,23,67,0.5,5,4,7,3,28,12,0,0,1,1
Cam Taylor-Britt,CIN,115,15,50,17,67,0.5,3,1,15,3,79,51,1,0,0,0
Tyrique Stevenson,CHI,115,14,45,22,67,0.0,0,1,11,2,43,43,1,1,0,0
Antonio Johnson,JAX,115,15,50,17,67,0.0,0,1,1,0,0,0,0,0,0,0
Malik Mustapha,SF,115,14,27,40,67,0.0,0,2,5,1,1,1,0,0,0,0
Cameron Heyward,PIT,122,15,33,33,66,8.0,62,11,8,0,0,0,0,0,0,0
Malik Hooker,DAL,122,15,40,26,66,0.0,0,1,4,2,20,21,0,0,0,0
Harold Landry III,TEN,122,15,37,29,66,8.0,37,13,4,0,0,0,0,0,0,0
Cam Lewis,BUF,122,15,47,19,66,0.0,0,2,4,1,0,0,0,0,0,0
Jeffery Simmons,TEN,122,14,37,29,66,5.0,35,11,4,0,0,0,0,2,2,0
K.J. Britt,TB,122,12,35,31,66,0.5,5,0,1,0,0,0,0,0,0,0
Nate Landman,ATL,122,11,31,35,66,0.0,0,0,0,0,0,0,0,3,0,0
Michael Jackson,CAR,129,15,51,14,65,0.0,0,1,14,1,1,1,0,0,0,0
P.J. Locke,DEN,129,13,44,21,65,1.0,10,3,2,0,0,0,0,1,0,0
Jalen Pitre,HOU,129,12,44,21,65,0.0,0,6,8,1,10,10,0,1,0,0
Montaric Brown,JAX,129,15,48,17,65,0.0,0,6,7,1,0,0,0,0,0,0
Kyler Gordon,CHI,129,13,41,24,65,0.5,4,3,4,0,0,0,0,0,2,0
Jarvis Brownlee Jr.,TEN,129,15,42,23,65,0.0,0,7,8,1,2,2,0,0,0,0
Akeem Davis-Gaither,CIN,135,15,30,34,64,0.0,0,2,4,1,12,12,0,0,0,0
Brandon Stephens,BAL,135,15,53,11,64,1.5,4,3,9,0,0,0,0,0,0,0
Payton Wilson,PIT,135,15,38,26,64,0.0,0,2,2,1,0,0,0,0,2,1
Joey Porter Jr.,PIT,135,15,47,17,64,0.0,0,2,6,1,16,16,0,0,0,0
Trevin Wallace,CAR,135,13,36,28,64,1.0,8,2,0,0,0,0,0,2,1,0
Benjamin St-Juste,WSH,140,15,50,13,63,0.0,0,0,7,0,0,0,0,1,1,0
Jared Verse,LAR,140,15,34,29,63,4.5,45,11,2,0,0,0,0,2,2,0
Eric Murray,HOU,142,15,42,20,62,1.0,14,1,10,1,0,0,0,0,0,0
Mike Hilton,CIN,142,14,43,19,62,0.0,0,12,4,1,0,0,0,0,0,0
Jack Jones,LV,142,15,49,13,62,0.0,0,3,12,2,53,29,1,0,0,0
Christian Elliss,NE,142,14,35,27,62,1.5,14,1,4,1,6,6,0,1,1,0
Christian Benford,BUF,142,14,48,14,62,1.0,8,3,9,1,6,6,0,2,1,0
Jourdan Lewis,DAL,147,14,34,27,61,1.0,10,3,7,1,0,0,0,1,1,0
Chuck Clark,NYJ,147,11,36,25,61,1.0,8,1,2,0,0,0,0,1,1,0
Taron Johnson,BUF,147,11,38,23,61,1.0,1,1,5,2,23,23,1,1,1,1
Grover Stewart,IND,147,15,26,35,61,3.5,11,8,3,0,0,0,0,1,1,0
A.J. Terrell,ATL,147,15,46,15,61,0.0,0,2,5,2,1,1,0,0,0,0
Kobie Turner,LAR,147,15,34,27,61,7.0,57,9,4,0,0,0,0,1,1,0
Jeremiah Owusu-Koramoah,CLE,147,8,39,22,61,3.0,14,10,3,1,0,0,0,1,0,0
Dru Phillips,NYG,147,12,38,23,61,1.0,5,7,0,0,0,0,0,2,0,0
Antoine Winfield Jr.,TB,155,9,34,26,60,2.0,11,2,3,0,0,0,0,0,1,1
Brian Burns,NYG,155,15,36,24,60,8.0,72,14,8,0,0,0,0,2,0,0
Coby Bryant,SEA,155,15,41,19,60,0.0,0,1,5,3,87,69,1,1,0,0
Andre Cisco,JAX,155,15,38,22,60,0.0,0,0,7,1,22,22,0,0,0,0
Mike Hughes,ATL,159,13,47,12,59,0.0,0,3,6,0,0,0,0,0,0,0
Ivan Pace Jr.,MIN,159,9,31,28,59,3.0,14,6,0,0,0,0,0,0,1,1
Edgerrin Cooper,GB,159,11,37,22,59,3.5,33,7,4,1,22,22,0,1,1,0
Mohamoud Diabate,CLE,159,11,29,30,59,0.0,0,5,3,0,0,0,0,0,0,0
T.J. Watt,PIT,163,15,39,19,58,11.5,80,18,3,0,0,0,0,6,2,0
Jamel Dean,TB,163,11,44,14,58,0.0,0,0,6,1,0,0,0,1,0,0
C.J. Gardner-Johnson,PHI,163,15,34,24,58,0.0,0,2,10,4,22,15,0,1,0,0
Marcus Jones,NE,163,14,48,10,58,0.0,0,1,10,1,35,35,0,0,1,0
Ar'Darius Washington,BAL,163,15,41,17,58,1.0,7,5,7,2,33,32,0,1,0,0
Christian Gonzalez,NE,163,15,49,9,58,0.0,0,1,11,2,2,2,0,0,1,1
Adam Butler,LV,169,15,32,25,57,3.5,27,7,2,0,0,0,0,0,0,0
Alex Anzalone,DET,170,9,40,16,56,1.0,8,7,4,0,0,0,0,0,0,0
Jalen Ramsey,MIA,170,15,36,20,56,1.0,12,5,9,2,7,7,0,0,0,0
Marlon Humphrey,BAL,170,14,42,14,56,0.5,3,4,13,6,37,37,1,1,0,0
Carlton Davis III,DET,170,13,42,14,56,0.0,0,2,11,2,0,0,0,1,2,0
Denzel Perryman,LAC,174,11,39,16,55,1.0,7,2,0,0,0,0,0,0,0,0
Davon Godchaux,NE,174,15,19,36,55,0.0,0,1,1,0,0,0,0,0,0,0
Rasul Douglas,BUF,174,13,40,15,55,0.0,0,5,5,0,0,0,0,1,0,0
Trent McDuffie,KC,174,15,41,14,55,0.5,0,6,12,2,0,0,0,0,0,0
Leonard Williams,SEA,178,14,28,26,54,7.0,52,12,3,1,92,92,1,0,0,0
D.J. Reed,NYJ,178,12,43,11,54,1.0,8,3,10,0,0,0,0,0,0,0
Jerome Baker,SEA/TEN,178,8,30,24,54,1.0,0,2,2,0,0,0,0,1,1,0
Travon Walker,JAX,178,15,28,26,54,8.5,80,11,1,0,0,0,0,1,1,1
Leo Chenal,KC,178,15,38,16,54,1.0,0,4,3,0,0,0,0,3,0,0
Renardo Green,SF,178,15,37,17,54,0.0,0,0,9,1,20,20,0,1,0,0
Omar Speights,LAR,178,15,31,23,54,0.0,0,2,2,0,0,0,0,0,0,0
Zach Allen,DEN,185,14,30,23,53,5.0,22,13,1,0,0,0,0,0,0,0
DaVon Hamilton,JAX,185,15,29,24,53,0.0,0,5,0,0,0,0,0,0,0,0
Jevon Holland,MIA,185,13,37,16,53,1.0,12,2,3,0,0,0,0,1,0,0
Tyrann Mathieu,NO,188,14,38,14,52,0.0,0,1,6,3,29,23,0,2,1,0
Jonathan Jones,NE,188,15,37,15,52,0.0,0,0,6,0,0,0,0,2,0,0
DeForest Buckner,IND,188,10,24,28,52,6.5,62,8,1,0,0,0,0,0,0,0
Vonn Bell,CIN,188,15,22,30,52,0.0,0,1,2,1,32,32,0,1,1,0
Jonathan Greenard,MIN,188,15,36,16,52,11.0,99,16,2,0,0,0,0,4,0,0
Divine Deablo,LV,188,12,32,20,52,1.0,13,3,2,0,0,0,0,0,0,0
Jonathon Cooper,DEN,188,15,29,23,52,8.0,40,9,1,0,0,0,0,1,0,0
Paulson Adebo,NO,188,7,43,9,52,0.0,0,1,10,3,68,47,0,0,0,0
Keion White,NE,188,15,28,24,52,5.0,25,7,5,0,0,0,0,2,0,0
Jordan Battle,CIN,188,15,32,20,52,0.0,0,1,3,1,0,0,0,0,1,0
Terrion Arnold,DET,188,14,40,12,52,0.0,0,0,9,0,0,0,0,0,1,0
Byron Young,LAR,188,15,28,24,52,6.0,44,11,1,0,0,0,0,1,0,0
Rayshawn Jenkins,SEA,200,11,33,18,51,1.0,16,1,0,0,0,0,0,0,1,1
Charvarius Ward,SF,200,11,35,16,51,0.0,0,1,7,0,0,0,0,0,0,0
Zaven Collins,ARI,200,15,30,21,51,4.0,33,6,1,0,0,0,0,1,0,0
Tarheeb Still,LAC,200,12,36,15,51,0.5,5,0,10,4,85,61,1,0,0,0
Kamari Lassiter,HOU,200,12,38,13,51,0.0,0,3,10,3,9,9,0,0,0,0
Justin Simmons,ATL,205,14,27,23,50,0.0,0,2,7,2,0,0,0,0,0,0
Kendall Fuller,MIA,205,11,37,13,50,0.0,0,1,7,0,0,0,0,0,1,0
Neville Hewitt,HOU,205,15,27,23,50,0.0,0,0,3,1,45,45,0,2,0,0
Will Harris,NO,205,10,34,16,50,0.0,0,2,4,1,7,7,0,0,0,0
Carl Granderson,NO,205,14,32,18,50,5.5,32,8,3,0,0,0,0,1,0,0
Malik Harrison,BAL,205,13,21,29,50,2.0,8,3,0,0,0,0,0,0,0,0
Greg Rousseau,BUF,205,15,35,15,50,7.5,44,16,2,0,0,0,0,3,1,0
Derek Stingley Jr.,HOU,205,15,36,14,50,0.0,0,4,18,5,48,31,0,0,0,0
Stephon Gilmore,MIN,213,13,33,16,49,0.0,0,1,9,1,0,0,0,0,0,0
Ugo Amadi,NO,213,8,39,10,49,2.0,22,5,6,0,0,0,0,0,0,0
Chauncey Golston,DAL,213,15,24,25,49,4.0,16,4,4,1,18,18,0,0,1,0
Noah Igbinoghene,WSH,213,15,30,19,49,0.0,0,1,6,0,0,0,0,0,0,0
Tykee Smith,TB,213,11,35,14,49,0.0,0,3,7,2,0,0,0,3,0,0
Evan Williams,GB,213,13,31,18,49,0.0,0,1,3,1,1,1,0,1,0,0
Calen Bullock,HOU,213,15,32,17,49,0.0,0,0,10,5,96,68,0,0,1,0
Garrett Williams,ARI,213,14,36,13,49,0.0,0,0,6,2,0,0,0,1,0,0
Jimmie Ward,HOU,221,10,32,16,48,0.0,0,5,4,2,67,65,1,0,0,0
B.J. Hill,CIN,221,13,23,25,48,3.0,11,6,4,0,0,0,0,0,0,0
Isaiah Oliver,NYJ,221,15,34,14,48,1.0,6,2,2,0,0,0,0,0,0,0
Tyson Campbell,JAX,221,10,33,15,48,0.0,0,2,5,0,0,0,0,0,0,0
Cor'Dale Flott,NYG,221,12,33,15,48,0.0,0,2,7,1,26,26,0,0,0,0
Eric Wilson,GB,226,14,28,19,47,2.0,17,7,3,1,0,0,0,1,0,0
Sean Murphy-Bunting,ARI,226,13,26,21,47,0.0,0,3,4,2,2,2,0,2,0,0
Troy Dye,LAC,226,15,26,21,47,1.5,10,2,0,0,0,0,0,0,0,0
Alohi Gilman,LAC,226,10,31,16,47,1.0,0,1,4,1,18,18,0,0,0,0
Troy Andersen,ATL,226,7,28,19,47,0.0,0,1,1,1,47,47,1,0,0,0
Calais Campbell,MIA,231,15,32,14,46,4.0,31,10,5,0,0,0,0,1,0,0
Darius Slay Jr.,PHI,231,13,37,9,46,0.0,0,3,13,0,0,0,0,1,1,0
Rakeem Nunez-Roches,NYG,231,13,11,35,46,1.0,1,1,2,0,0,0,0,0,0,0
Grady Jarrett,ATL,231,15,25,21,46,2.5,23,9,0,0,0,0,0,0,0,0
Ronald Darby,JAX,231,13,36,10,46,0.0,0,3,9,0,0,0,0,0,0,0
Troy Reeder,LAR,231,6,26,20,46,0.0,0,1,1,0,0,0,0,0,0,0
Michael Hoecht,LAR,231,15,20,26,46,3.0,14,4,2,0,0,0,0,0,0,0
Jordan Fuller,CAR,231,8,27,19,46,0.0,0,0,1,0,0,0,0,1,0,0
Sauce Gardner,NYJ,231,14,33,13,46,1.0,4,1,8,1,0,0,0,0,0,0
Yaya Diaby,TB,231,15,33,13,46,2.5,20,8,0,0,0,0,0,1,1,0
Max Melton,ARI,231,15,34,12,46,0.0,0,2,4,0,0,0,0,1,0,0
Zach Sieler,MIA,242,13,24,21,45,8.5,75,12,2,1,0,0,0,1,1,0
Raekwon McMillan,NE,242,9,25,20,45,0.0,0,1,1,0,0,0,0,0,0,0
David Long Jr.,MIA/DET,242,13,29,16,45,0.0,0,3,0,0,0,0,0,0,1,0
Maxx Crosby,LV,242,12,28,17,45,7.5,64,17,5,0,0,0,0,0,0,0
Juan Thornhill,CLE,242,9,28,17,45,0.0,0,1,2,0,0,0,0,0,0,0
Nate Hobbs,LV,242,10,30,15,45,0.0,0,2,5,1,35,35,0,0,0,0
Jordan Howden,NO,242,14,22,23,45,0.0,0,1,1,1,-5,-5,0,0,0,0
Beanie Bishop Jr.,PIT,242,15,30,15,45,0.5,3,2,6,3,46,41,0,0,1,0
Deonte Banks,NYG,242,12,34,11,45,0.0,0,1,9,0,0,0,0,1,0,0
Kamren Kinchens,LAR,242,15,27,18,45,0.0,0,1,5,3,112,103,1,1,0,0
Cooper DeJean,PHI,242,15,34,11,45,0.5,8,3,6,0,0,0,0,1,2,0
Jalen Mills,NYJ,253,9,17,27,44,0.0,0,1,6,1,0,0,0,1,0,0
Danielle Hunter,HOU,253,15,30,14,44,12.0,94,17,3,0,0,0,0,1,0,0
Daniel Ekuale,NE,253,14,22,22,44,1.0,6,2,0,0,0,0,0,0,0,0
Harrison Phillips,MIN,253,15,14,30,44,2.0,14,2,4,0,0,0,0,1,1,0
Denzel Ward,CLE,253,15,37,7,44,0.0,0,1,19,2,0,0,0,1,1,0
Kristian Fulton,LAC,253,13,32,12,44,0.0,0,2,7,1,29,29,0,0,0,0
Dexter Lawrence II,NYG,253,12,23,21,44,9.0,65,8,1,0,0,0,0,1,0,0
Nick Bosa,SF,253,12,28,16,44,7.0,40,11,1,1,30,30,0,1,1,0
Nazeeh Johnson,KC,253,14,24,20,44,1.0,17,3,3,0,0,0,0,0,0,0
Jack Gibbens,TEN,253,10,22,22,44,0.5,3,2,0,0,0,0,0,0,0,0
Dane Belton,NYG,253,15,19,25,44,1.0,5,1,4,0,0,0,0,1,0,0
Gervon Dexter Sr.,CHI,253,13,23,21,44,5.0,37,4,1,0,0,0,0,0,2,0
DeMarcus Walker,CHI,265,15,23,20,43,3.5,20,5,0,0,0,0,0,0,0,0
Jarran Reed,SEA,265,15,20,23,43,3.5,36,4,2,0,0,0,0,1,0,0
Jaylinn Hawkins,NE,265,15,26,17,43,0.0,0,3,1,0,0,0,0,0,1,0
Amik Robertson,DET,265,15,34,9,43,0.0,0,4,6,0,0,0,0,2,0,0
Malcolm Rodriguez,DET,265,10,27,16,43,2.0,7,2,1,0,0,0,0,0,1,0
Jaylon Johnson,CHI,265,15,34,9,43,0.0,0,7,7,2,11,9,0,0,0,0
Riq Woolen,SEA,265,13,29,14,43,0.0,0,0,13,2,4,4,0,1,0,0
Nik Bonitto,DEN,265,15,29,14,43,11.5,80,14,3,1,71,71,1,2,1,1
Roger McCreary,TEN,265,13,36,7,43,1.0,13,11,1,0,0,0,0,0,0,0
T'Vondre Sweat,TEN,265,15,19,24,43,1.0,9,4,1,0,0,0,0,1,1,0
Quandre Diggs,TEN,275,8,35,7,42,0.0,0,0,0,0,0,0,0,0,0,0
Emmanuel Ogbah,MIA,275,14,22,20,42,3.5,11,7,2,1,0,0,0,0,0,0
Marcus Maye,LAC/MIA,275,15,19,23,42,0.0,0,1,3,1,0,0,0,0,0,0
Sebastian Joseph-Day,TEN,275,15,18,24,42,2.5,32,3,1,0,0,0,0,0,0,0
Darnell Savage,JAX,275,12,33,9,42,0.0,0,2,6,1,16,16,0,0,0,0
Osa Odighizuwa,DAL,275,15,23,19,42,4.0,22,5,1,0,0,0,0,1,0,0
Trevon Diggs,DAL,275,11,35,7,42,0.0,0,0,11,2,1,1,0,0,0,0
Starling Thomas V,ARI,275,15,30,12,42,0.0,0,1,6,0,0,0,0,1,0,0
Jalen Carter,PHI,275,15,25,17,42,4.5,31,12,5,0,0,0,0,2,0,0
John Jenkins,LV,284,15,12,29,41,1.0,11,3,2,0,0,0,0,0,0,0
Elandon Roberts,PIT,284,15,21,20,41,1.0,9,5,0,0,0,0,0,1,0,0
Sam Hubbard,CIN,284,14,25,16,41,2.0,6,3,2,1,0,0,0,1,0,0
Myles Garrett,CLE,284,15,34,7,41,12.0,85,18,1,0,0,0,0,3,1,0
David Onyemata,ATL,284,15,21,20,41,2.0,8,7,1,0,0,0,0,0,0,0
Darious Williams,LAR,284,11,29,12,41,0.0,0,1,6,1,0,0,0,0,0,0
DJ Johnson,CAR,284,13,17,24,41,0.5,0,2,1,0,0,0,0,0,1,0
Braden Fiske,LAR,284,15,18,23,41,6.0,62,8,0,0,0,0,0,2,2,0
Quinyon Mitchell,PHI,284,15,32,9,41,0.0,0,0,10,0,0,0,0,0,0,0
Jadeveon Clowney,CAR,293,12,22,18,40,3.5,39,7,3,0,0,0,0,0,0,0
Jabrill Peppers,NE,293,6,20,20,40,0.0,0,2,2,1,0,0,0,1,0,0
Shy Tuttle,CAR,293,13,20,20,40,0.0,0,0,3,0,0,0,0,1,2,0
