PLR_NAME,TEAM,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD
Zaire Franklin,IND,1,15,83,68,151,2.5,4,6,5,2,4,4,0,3,0,0
Budda Baker,ARI,2,15,90,58,148,2.0,13,9,3,0,0,0,0,0,0,0
Zack Baun,PHI,3,15,92,53,145,3.5,23,11,3,1,0,0,0,5,1,0
Daiyan Henley,LAC,4,15,82,60,142,1.0,1,7,7,0,0,0,0,0,0,0
Jamien Sherwood,NYJ,4,15,90,52,142,2.0,11,9,2,0,0,0,0,0,0,0
Roquan Smith,BAL,6,14,71,65,136,0.5,3,3,4,1,0,0,0,1,1,0
Robert Spillane,LV,7,15,81,53,134,1.0,6,8,5,2,0,0,0,0,0,0
Kaden Elliss,ATL,8,15,75,56,131,5.0,37,8,2,0,0,0,0,1,1,0
Nick Cross,IND,8,15,82,49,131,1.0,2,5,5,3,25,20,0,1,0,0
Germaine Pratt,CIN,10,15,73,57,130,0.0,0,4,5,1,24,24,0,2,2,0
E.J. Speed,IND,11,13,87,42,129,0.0,0,7,4,1,12,12,0,0,0,0
Christian Rozeboom,LAR,12,15,66,62,128,1.0,6,5,4,1,16,16,0,0,0,0
Jordyn Brooks,MIA,12,15,75,53,128,3.0,19,10,5,0,0,0,0,0,2,0
Nakobe Dean,PHI,12,15,80,48,128,3.0,26,9,4,1,0,0,0,1,2,0
Eric Kendricks,DAL,15,13,63,61,124,3.0,8,3,3,2,15,8,0,3,1,0
Ernest Jones IV,SEA/TEN,16,14,72,51,123,0.0,0,4,4,1,12,12,0,1,0,0
T.J. Edwards,CHI,17,15,72,47,119,3.0,18,10,3,1,0,0,0,1,1,0
Kyzir White,ARI,17,15,51,68,119,2.5,15,7,2,1,0,0,0,0,1,0
Bobby Wagner,WSH,19,15,71,47,118,2.0,13,8,2,0,0,0,0,1,2,0
Fred Warner,SF,20,15,68,49,117,1.0,0,3,7,2,70,45,1,4,0,0
Patrick Queen,PIT,20,15,57,60,117,0.0,0,5,6,0,0,0,0,1,1,0
Jack Campbell,DET,22,15,63,53,116,1.5,5,5,5,0,0,0,0,1,0,0
Lavonte David,TB,23,15,72,40,112,5.5,44,9,5,1,7,7,0,3,1,0
Kevin Byard III,CHI,23,15,67,45,112,1.0,3,4,7,1,0,0,0,0,2,0
Dorian Williams,BUF,25,15,65,43,108,0.0,0,5,0,0,0,0,0,1,3,0
Micah McFadden,NYG,26,14,60,47,107,3.0,4,8,1,0,0,0,0,1,1,0
Quentin Lake,LAR,27,15,69,37,106,2.0,7,1,5,0,0,0,0,0,0,0
Demario Davis,NO,28,13,51,53,104,2.0,0,3,6,1,0,0,0,0,0,0
Logan Wilson,CIN,28,11,55,49,104,0.0,0,2,1,0,0,0,0,2,2,0
Xavier Woods,CAR,30,15,64,38,102,0.0,0,2,5,3,70,33,0,0,0,0
Quay Walker,GB,30,13,72,30,102,2.5,19,9,2,0,0,0,0,0,0,0
