Player,Position,Team,College
Carlos Basham,LB,NY Giants,Wake Forest
Micah Baskerville,LB,Chicago,Louisiana State
T.J. Bass,OG,Dallas,Oregon
Tyler Bass,K,Buffalo,Georgia Southern
Rashod Bateman,WR,Baltimore,Minnesota
Brenden Bates,TE,Cleveland,Kentucky
Jake Bates,K,Detroit,Arkansas
Jessie Bates III,DB,Atlanta,Wake Forest
John Bates,TE,Washington,Boise State
Ryan Bates,OG,Chicago,Penn State
Jordan Battle,DB,Cincinnati,Alabama
Miles Battle,DB,New England,Utah
Zack Baun,LB,Philadelphia,Wisconsin
Kelvin Beachum,OT,Arizona,Southern Methodist
Robert Beal,DE,San Francisco,Georgia
Jason Bean,QB,Indianapolis,Kansas
C.J. Beathard,QB,Jacksonville,Iowa
Abraham Beauplan,LB,Detroit,Marshall
Andrew Beck,RB,Houston,Texas
Mekhi Becton,OT,Philadelphia,Louisville
Cooper Beebe,OG,Dallas,Kansas State
D'Anthony Bell,DB,Cleveland,West Florida
David Bell,WR,Cleveland,Purdue
Jaheim Bell,TE,New England,Florida State
Markquese Bell,DB,Dallas,Florida A&M
Quinton Bell,LB,Miami,Prairie View A&M
Ronnie Bell,WR,San Francisco,Michigan
Travis Bell,DT,Minnesota,Kennesaw State
Vonn Bell,DB,Cincinnati,Ohio State
Daniel Bellinger,TE,NY Giants,San Diego State
Nick Bellore,LB,Washington,Central Michigan
Dane Belton,DB,NY Giants,Iowa
Theo Benedet,OT,Chicago,British Columbia
Christian Benford,DB,Buffalo,Villanova
Jakorian Bennett,DB,Las Vegas,Maryland
Stetson Bennett,QB,LA Rams,Georgia
Trey Benson,RB,Arizona,Florida State
Ja'Whaun Bentley,LB,New England,Purdue
Keeanu Benton,DT,Pittsburgh,Wisconsin
Matthew Bergeron,OT,Atlanta,Syracuse
Jarrick Bernard,DB,NY Jets,Louisiana State
Terrel Bernard,LB,Buffalo,Baylor
Braxton Berrios,WR,Miami,Miami
JD Bertrand,LB,Atlanta,Notre Dame
Tatum Bethune,LB,San Francisco,Florida State
Tyler Biadasz,C,Washington,Wisconsin
Cartavious Bigsby,RB,Jacksonville,Auburn
